         Datum/Zeit;    Temp; Feuchte;   PyrUp;   PyrDn;   Regen;Lüfterdrehzahl;Globalstrahlung
02.01.2024 00:00:00;    4.37;   0.869;  -0.009;   3.198;       0;     0.0;    -1.8
02.01.2024 00:01:00;    4.37;   0.870;  -0.009;   2.266;       0;     0.0;    -1.8
02.01.2024 00:02:00;    4.37;   0.870;  -0.009;   2.531;       0;     0.0;    -1.8
02.01.2024 00:03:00;    4.38;   0.870;  -0.009;   2.970;       0;     0.0;    -1.7
02.01.2024 00:04:00;    4.39;   0.871;  -0.008;   2.401;       0;     0.0;    -1.7
02.01.2024 00:05:00;    4.40;   0.871;  -0.008;   2.362;       0;     0.0;    -1.7
02.01.2024 00:06:00;    4.39;   0.870;  -0.008;   2.925;       0;     0.0;    -1.7
02.01.2024 00:07:00;    4.40;   0.871;  -0.008;   2.421;       0;     0.0;    -1.7
02.01.2024 00:08:00;    4.42;   0.872;  -0.008;   3.570;       0;     0.0;    -1.6
02.01.2024 00:09:00;    4.45;   0.872;  -0.008;   3.275;       0;     0.0;    -1.6
02.01.2024 00:10:00;    4.46;   0.872;  -0.008;   2.280;       0;     0.0;    -1.6
02.01.2024 00:11:00;    4.47;   0.871;  -0.008;   4.986;       0;     0.0;    -1.7
02.01.2024 00:12:00;    4.48;   0.871;  -0.008;   4.348;       0;     0.0;    -1.7
02.01.2024 00:13:00;    4.54;   0.874;  -0.008;   3.892;       0;     0.0;    -1.6
02.01.2024 00:14:00;    4.56;   0.873;  -0.008;   3.342;       0;     0.0;    -1.5
02.01.2024 00:15:00;    4.59;   0.872;  -0.008;   2.113;       0;     0.0;    -1.5
02.01.2024 00:16:00;    4.60;   0.871;  -0.008;   2.911;       0;     0.0;    -1.6
02.01.2024 00:17:00;    4.61;   0.871;  -0.008;   3.770;       0;     0.0;    -1.7
02.01.2024 00:18:00;    4.64;   0.871;  -0.008;   3.096;       0;     0.0;    -1.7
02.01.2024 00:19:00;    4.67;   0.872;  -0.008;   3.658;       0;     0.0;    -1.6
02.01.2024 00:20:00;    4.71;   0.872;  -0.008;   4.313;       0;     0.0;    -1.5
02.01.2024 00:21:00;    4.71;   0.869;  -0.008;   4.088;       0;     0.0;    -1.6
02.01.2024 00:22:00;    4.72;   0.869;  -0.008;   4.064;       0;     0.0;    -1.6
02.01.2024 00:23:00;    4.74;   0.869;  -0.008;   3.950;       0;     0.0;    -1.6
02.01.2024 00:24:00;    4.75;   0.868;  -0.008;   4.907;       0;     0.0;    -1.5
02.01.2024 00:25:00;    4.76;   0.868;  -0.008;   3.499;       0;     0.0;    -1.5
02.01.2024 00:26:00;    4.78;   0.868;  -0.008;   3.120;       0;     0.0;    -1.5
02.01.2024 00:27:00;    4.84;   0.870;  -0.007;   3.541;       0;     0.0;    -1.5
02.01.2024 00:28:00;    4.85;   0.867;  -0.007;   3.471;       0;     0.0;    -1.5
02.01.2024 00:29:00;    4.85;   0.865;  -0.008;   4.728;       0;     0.0;    -1.5
02.01.2024 00:30:00;    4.87;   0.865;  -0.008;   4.906;       0;     0.0;    -1.5
02.01.2024 00:31:00;    4.87;   0.864;  -0.007;   4.559;       0;     0.0;    -1.4
02.01.2024 00:32:00;    4.84;   0.860;  -0.007;   4.531;       0;     0.0;    -1.5
02.01.2024 00:33:00;    4.82;   0.860;  -0.008;   5.023;       0;     0.0;    -1.5
02.01.2024 00:34:00;    4.78;   0.858;  -0.008;   5.314;       0;     0.0;    -1.5
02.01.2024 00:35:00;    4.75;   0.857;  -0.008;   5.207;       0;     0.0;    -1.5
02.01.2024 00:36:00;    4.70;   0.856;  -0.008;   4.176;       0;     0.0;    -1.7
02.01.2024 00:37:00;    4.67;   0.857;  -0.008;   4.756;       0;     0.0;    -1.7
02.01.2024 00:38:00;    4.64;   0.857;  -0.008;   4.515;       0;     0.0;    -1.7
02.01.2024 00:39:00;    4.64;   0.859;  -0.008;   5.561;       0;     0.0;    -1.7
02.01.2024 00:40:00;    4.66;   0.862;  -0.008;   5.134;       0;     0.0;    -1.6
02.01.2024 00:41:00;    4.68;   0.863;  -0.008;   4.734;       0;     0.0;    -1.6
02.01.2024 00:42:00;    4.71;   0.864;  -0.008;   5.432;       0;     0.0;    -1.5
02.01.2024 00:43:00;    4.73;   0.864;  -0.008;   4.898;       0;     0.0;    -1.5
02.01.2024 00:44:00;    4.74;   0.864;  -0.008;   3.580;       0;     0.0;    -1.5
02.01.2024 00:45:00;    4.76;   0.864;  -0.008;   5.904;       0;     0.0;    -1.5
02.01.2024 00:46:00;    4.78;   0.864;  -0.008;   5.312;       0;     0.0;    -1.5
02.01.2024 00:47:00;    4.81;   0.865;  -0.008;   6.152;       0;     0.0;    -1.5
02.01.2024 00:48:00;    4.83;   0.865;  -0.008;   6.831;       0;     0.0;    -1.5
02.01.2024 00:49:00;    4.82;   0.862;  -0.008;   6.893;       0;     0.0;    -1.5
02.01.2024 00:50:00;    4.82;   0.862;  -0.008;   6.298;       0;     0.0;    -1.6
02.01.2024 00:51:00;    4.87;   0.865;  -0.008;   6.553;       0;     0.0;    -1.5
02.01.2024 00:52:00;    4.90;   0.865;  -0.008;   6.751;       0;     0.0;    -1.5
