         Datum/Zeit;    Temp; Feuchte;   PyrUp;   PyrDn;   Regen;Lüfterdrehzahl;Globalstrahlung
15.01.2024 00:00:00;    1.18;   0.903;   0.004;   9.129;       0;     0.0;     0.9
15.01.2024 00:01:00;    1.18;   0.903;   0.004;   8.869;       0;     0.0;     0.9
15.01.2024 00:02:00;    1.17;   0.904;   0.004;   8.642;       0;     0.0;     0.8
15.01.2024 00:03:00;    1.16;   0.903;   0.004;   8.692;       0;     0.0;     0.9
15.01.2024 00:04:00;    1.14;   0.902;   0.004;   8.396;       0;     0.0;     0.9
15.01.2024 00:05:00;    1.14;   0.904;   0.005;   9.690;       0;     0.0;     0.9
15.01.2024 00:06:00;    1.14;   0.904;   0.005;   9.261;       0;     0.0;     0.9
15.01.2024 00:07:00;    1.13;   0.903;   0.005;   8.338;       0;     0.0;     0.9
15.01.2024 00:08:00;    1.12;   0.904;   0.005;   9.349;       3;     0.0;     0.9
15.01.2024 00:09:00;    1.11;   0.904;   0.005;   8.116;       0;     0.0;     0.9
15.01.2024 00:10:00;    1.11;   0.905;   0.005;   8.227;       0;     0.0;     1.0
15.01.2024 00:11:00;    1.11;   0.905;   0.005;   8.974;       0;     0.0;     1.0
15.01.2024 00:12:00;    1.10;   0.905;   0.005;   9.023;       0;     0.0;     1.1
15.01.2024 00:13:00;    1.11;   0.906;   0.005;   9.015;       0;     0.0;     1.1
15.01.2024 00:14:00;    1.11;   0.906;   0.005;   8.419;       0;     0.0;     1.1
15.01.2024 00:15:00;    1.11;   0.906;   0.005;   9.150;       0;     0.0;     1.1
15.01.2024 00:16:00;    1.11;   0.906;   0.005;   9.277;       0;     0.0;     1.0
15.01.2024 00:17:00;    1.11;   0.906;   0.005;   9.578;       0;     0.0;     1.1
15.01.2024 00:18:00;    1.12;   0.907;   0.006;   9.362;       0;     0.0;     1.1
15.01.2024 00:19:00;    1.12;   0.907;   0.006;   9.605;       0;     0.0;     1.2
15.01.2024 00:20:00;    1.13;   0.907;   0.006;   9.633;       0;     0.0;     1.2
15.01.2024 00:21:00;    1.15;   0.908;   0.006;   9.629;       0;     0.0;     1.2
15.01.2024 00:22:00;    1.16;   0.907;   0.006;   9.356;       0;     0.0;     1.2
15.01.2024 00:23:00;    1.16;   0.907;   0.006;   9.354;       0;     0.0;     1.1
15.01.2024 00:24:00;    1.18;   0.908;   0.006;   9.039;       0;     0.0;     1.2
15.01.2024 00:25:00;    1.19;   0.908;   0.005;   8.541;       0;     0.0;     1.1
15.01.2024 00:26:00;    1.20;   0.908;   0.005;   7.601;       0;     0.0;     0.9
15.01.2024 00:27:00;    1.20;   0.907;   0.004;   9.231;       0;     0.0;     0.8
15.01.2024 00:28:00;    1.18;   0.906;   0.004;   9.752;       0;     0.0;     0.7
15.01.2024 00:29:00;    1.17;   0.907;   0.003;  10.104;       0;     0.0;     0.7
15.01.2024 00:30:00;    1.17;   0.907;   0.003;   9.836;       0;     0.0;     0.7
15.01.2024 00:31:00;    1.16;   0.907;   0.004;   9.013;       0;     0.0;     0.7
15.01.2024 00:32:00;    1.14;   0.906;   0.003;   8.472;       0;     0.0;     0.7
15.01.2024 00:33:00;    1.13;   0.906;   0.003;   7.538;       0;     0.0;     0.6
15.01.2024 00:34:00;    1.13;   0.907;   0.004;   9.613;       0;     0.0;     0.7
15.01.2024 00:35:00;    1.12;   0.907;   0.004;  10.063;       0;     0.0;     0.8
15.01.2024 00:36:00;    1.14;   0.909;   0.005;  10.029;       0;     0.0;     0.9
15.01.2024 00:37:00;    1.16;   0.910;   0.005;   9.852;       0;     0.0;     1.0
15.01.2024 00:38:00;    1.17;   0.910;   0.005;   9.770;       0;     0.0;     1.1
15.01.2024 00:39:00;    1.18;   0.909;   0.006;   9.945;       0;     0.0;     1.1
15.01.2024 00:40:00;    1.19;   0.909;   0.005;   9.935;       0;     0.0;     1.1
15.01.2024 00:41:00;    1.19;   0.908;   0.005;   9.950;       0;     0.0;     1.0
