         Datum/Zeit;    Temp; Feuchte;   PyrUp;   PyrDn;   Regen;Lüfterdrehzahl;Globalstrahlung
04.02.2024 00:00:00;    9.35;   0.820;   0.000;  20.000;       0;     0.0;    -0.1
04.02.2024 00:01:00;    9.35;   0.820;   0.000;  20.000;       0;     0.0;     0.0
04.02.2024 00:02:00;    9.37;   0.819;   0.000;  20.000;       0;     0.0;     0.0
04.02.2024 00:03:00;    9.36;   0.819;  -0.001;  20.000;       0;     0.0;    -0.1
04.02.2024 00:04:00;    9.36;   0.818;  -0.001;  20.000;       0;     0.0;    -0.2
04.02.2024 00:05:00;    9.36;   0.818;  -0.001;  20.000;       0;     0.0;    -0.2
04.02.2024 00:06:00;    9.37;   0.818;  -0.001;  20.000;       0;     0.0;    -0.2
04.02.2024 00:07:00;    9.37;   0.818;  -0.001;  20.000;       0;     0.0;    -0.2
04.02.2024 00:08:00;    9.36;   0.817;  -0.002;  20.000;       0;     0.0;    -0.3
04.02.2024 00:09:00;    9.35;   0.816;  -0.002;  20.000;       0;     0.0;    -0.3
04.02.2024 00:10:00;    9.34;   0.816;  -0.002;  20.000;       0;     0.0;    -0.3
04.02.2024 00:11:00;    9.33;   0.816;  -0.002;  20.000;       0;     0.0;    -0.3
04.02.2024 00:12:00;    9.34;   0.817;  -0.001;  20.000;       0;     0.0;    -0.2
04.02.2024 00:13:00;    9.34;   0.816;  -0.001;  20.000;       0;     0.0;    -0.2
04.02.2024 00:14:00;    9.33;   0.816;  -0.001;  20.000;       0;     0.0;    -0.2
04.02.2024 00:15:00;    9.33;   0.816;  -0.001;  20.000;       0;     0.0;    -0.3
04.02.2024 00:16:00;    9.33;   0.815;  -0.001;  20.000;       0;     0.0;    -0.2
04.02.2024 00:17:00;    9.33;   0.815;  -0.002;  20.000;       0;     0.0;    -0.3
04.02.2024 00:18:00;    9.32;   0.814;  -0.002;  20.000;       0;     0.0;    -0.3
04.02.2024 00:19:00;    9.32;   0.814;  -0.002;  20.000;       0;     0.0;    -0.4
04.02.2024 00:20:00;    9.32;   0.813;  -0.003;  20.000;       0;     0.0;    -0.6
04.02.2024 00:21:00;    9.31;   0.812;  -0.003;  20.000;       0;     0.0;    -0.7
04.02.2024 00:22:00;    9.30;   0.811;  -0.004;  20.000;       0;     0.0;    -0.8
04.02.2024 00:23:00;    9.29;   0.811;  -0.005;  20.000;       0;     0.0;    -0.9
04.02.2024 00:24:00;    9.27;   0.811;  -0.005;  20.000;       0;     0.0;    -0.9
04.02.2024 00:25:00;    9.25;   0.810;  -0.005;  20.000;       0;     0.0;    -1.0
04.02.2024 00:26:00;    9.22;   0.809;  -0.006;  20.000;       0;     0.0;    -1.1
04.02.2024 00:27:00;    9.18;   0.809;  -0.007;  20.000;       0;     0.0;    -1.3
04.02.2024 00:28:00;    9.16;   0.810;  -0.007;  20.000;       0;     0.0;    -1.4
04.02.2024 00:29:00;    9.14;   0.812;  -0.007;  20.000;       0;     0.0;    -1.4
04.02.2024 00:30:00;    9.14;   0.813;  -0.006;  20.000;       0;     0.0;    -1.3
04.02.2024 00:31:00;    9.13;   0.813;  -0.006;  20.000;       0;     0.0;    -1.3
04.02.2024 00:32:00;    9.11;   0.813;  -0.007;  20.000;       0;     0.0;    -1.3
04.02.2024 00:33:00;    9.10;   0.814;  -0.007;  20.000;       0;     0.0;    -1.3
04.02.2024 00:34:00;    9.07;   0.813;  -0.007;  20.000;       0;     0.0;    -1.4
04.02.2024 00:35:00;    9.06;   0.815;  -0.008;  20.000;       0;     0.0;    -1.5
04.02.2024 00:36:00;    9.06;   0.816;  -0.008;  20.000;       0;     0.0;    -1.5
04.02.2024 00:37:00;    9.05;   0.816;  -0.008;  20.000;       0;     0.0;    -1.6
04.02.2024 00:38:00;    9.04;   0.817;  -0.008;  20.000;       0;     0.0;    -1.6
04.02.2024 00:39:00;    9.02;   0.816;  -0.009;  20.000;       0;     0.0;    -1.7
04.02.2024 00:40:00;    8.98;   0.815;  -0.010;  20.000;       0;     0.0;    -2.0
04.02.2024 00:41:00;    8.96;   0.817;  -0.011;  20.000;       0;     0.0;    -2.2
04.02.2024 00:42:00;    8.95;   0.818;  -0.011;  20.000;       0;     0.0;    -2.3
04.02.2024 00:43:00;    8.92;   0.817;  -0.012;  20.000;       0;     0.0;    -2.3
