         Datum/Zeit;    Temp; Feuchte;   PyrUp;   PyrDn;   Regen;Lüfterdrehzahl;Globalstrahlung
23.02.2024 00:00:00;    8.86;   0.646;  -0.006;  -4.867;       0;     0.0;    -1.3
23.02.2024 00:01:00;    8.82;   0.642;  -0.007;  -5.798;       0;     0.0;    -1.4
23.02.2024 00:02:00;    8.80;   0.645;  -0.008;  -5.504;       0;     0.0;    -1.6
23.02.2024 00:03:00;    8.80;   0.644;  -0.008;  -5.097;       0;     0.0;    -1.6
23.02.2024 00:04:00;    8.79;   0.645;  -0.008;  -6.078;       0;     0.0;    -1.7
23.02.2024 00:05:00;    8.80;   0.645;  -0.008;  -5.692;       0;     0.0;    -1.7
23.02.2024 00:06:00;    8.83;   0.642;  -0.008;  -5.898;       0;     0.0;    -1.6
23.02.2024 00:07:00;    8.87;   0.636;  -0.007;  -6.367;       0;     0.0;    -1.5
23.02.2024 00:08:00;    8.93;   0.631;  -0.007;  -5.358;       0;     0.0;    -1.3
23.02.2024 00:09:00;    8.93;   0.622;  -0.007;  -4.212;       0;     0.0;    -1.3
23.02.2024 00:10:00;    8.86;   0.619;  -0.008;  -5.159;       0;     0.0;    -1.5
23.02.2024 00:11:00;    8.80;   0.621;  -0.009;  -5.281;       0;     0.0;    -1.7
23.02.2024 00:12:00;    8.77;   0.624;  -0.009;  -5.261;       0;     0.0;    -1.7
23.02.2024 00:13:00;    8.76;   0.627;  -0.008;  -6.295;       0;     0.0;    -1.7
23.02.2024 00:14:00;    8.82;   0.629;  -0.007;  -5.813;       0;     0.0;    -1.5
23.02.2024 00:15:00;    8.83;   0.623;  -0.007;  -6.126;       0;     0.0;    -1.3
23.02.2024 00:16:00;    8.81;   0.623;  -0.007;  -6.731;       0;     0.0;    -1.4
23.02.2024 00:17:00;    8.79;   0.624;  -0.007;  -5.745;       0;     0.0;    -1.4
23.02.2024 00:18:00;    8.75;   0.624;  -0.007;  -5.608;       0;     0.0;    -1.3
23.02.2024 00:19:00;    8.72;   0.627;  -0.007;  -6.467;       0;     0.0;    -1.4
23.02.2024 00:20:00;    8.69;   0.628;  -0.007;  -5.944;       0;     0.0;    -1.3
23.02.2024 00:21:00;    8.61;   0.631;  -0.007;  -7.758;       0;     0.0;    -1.4
23.02.2024 00:22:00;    8.53;   0.635;  -0.008;  -5.983;       0;     0.0;    -1.5
23.02.2024 00:23:00;    8.54;   0.645;  -0.007;  -5.711;       0;     0.0;    -1.4
23.02.2024 00:24:00;    8.62;   0.647;  -0.006;  -5.422;       0;     0.0;    -1.1
23.02.2024 00:25:00;    8.64;   0.642;  -0.005;  -5.895;       0;     0.0;    -1.1
23.02.2024 00:26:00;    8.60;   0.639;  -0.006;  -6.659;       0;     0.0;    -1.1
23.02.2024 00:27:00;    8.53;   0.640;  -0.006;  -5.746;       0;     0.0;    -1.3
23.02.2024 00:28:00;    8.48;   0.645;  -0.007;  -4.904;       0;     0.0;    -1.3
23.02.2024 00:29:00;    8.46;   0.649;  -0.006;  -5.122;       0;     0.0;    -1.2
23.02.2024 00:30:00;    8.49;   0.655;  -0.006;  -6.100;       0;     0.0;    -1.1
23.02.2024 00:31:00;    8.54;   0.654;  -0.005;  -6.830;       0;     0.0;    -1.0
23.02.2024 00:32:00;    8.54;   0.652;  -0.005;  -5.056;       0;     0.0;    -1.1
23.02.2024 00:33:00;    8.55;   0.652;  -0.005;  -6.070;       0;     0.0;    -1.0
23.02.2024 00:34:00;    8.56;   0.653;  -0.005;  -5.617;       0;     0.0;    -0.9
23.02.2024 00:35:00;    8.60;   0.654;  -0.004;  -7.293;       0;     0.0;    -0.8
23.02.2024 00:36:00;    8.69;   0.653;  -0.003;  -6.143;       0;     0.0;    -0.6
23.02.2024 00:37:00;    8.79;   0.647;  -0.002;  -6.249;       0;     0.0;    -0.4
23.02.2024 00:38:00;    8.89;   0.638;  -0.001;  -6.301;       0;     0.0;    -0.2
23.02.2024 00:39:00;    8.91;   0.629;  -0.001;  -6.270;       0;     0.0;    -0.2
23.02.2024 00:40:00;    8.91;   0.627;  -0.002;  -7.105;       0;     0.0;    -0.4
23.02.2024 00:41:00;    8.96;   0.626;  -0.002;  -6.380;       0;     0.0;    -0.3
23.02.2024 00:42:00;    8.97;   0.622;  -0.002;  -5.591;       0;     0.0;    -0.3
23.02.2024 00:43:00;    8.95;   0.620;  -0.002;  -5.436;       0;     0.0;    -0.4
23.02.2024 00:44:00;    8.91;   0.621;  -0.003;  -6.133;       0;     0.0;    -0.5
23.02.2024 00:45:00;    8.88;   0.624;  -0.003;  -6.829;       0;     0.0;    -0.5
23.02.2024 00:46:00;    8.86;   0.626;  -0.003;  -6.180;       0;     0.0;    -0.6
23.02.2024 00:47:00;    8.82;   0.629;  -0.003;  -4.911;       0;     0.0;    -0.6
23.02.2024 00:48:00;    8.81;   0.632;  -0.003;  -5.011;       0;     0.0;    -0.6
23.02.2024 00:49:00;    8.81;   0.634;  -0.003;  -5.849;       0;     0.0;    -0.6
23.02.2024 00:50:00;    8.83;   0.634;  -0.002;  -4.462;       0;     0.0;    -0.5
23.02.2024 00:51:00;    8.82;   0.632;  -0.003;  -6.962;       0;     0.0;    -0.5
23.02.2024 00:52:00;    8.82;   0.633;  -0.003;  -6.332;       0;     0.0;    -0.5
23.02.2024 00:53:00;    8.83;   0.633;  -0.003;  -5.218;       0;     0.0;    -0.5
23.02.2024 00:54:00;    8.81;   0.630;  -0.003;  -6.057;       0;     0.0;    -0.6
23.02.2024 00:55:00;    8.82;   0.629;  -0.004;  -5.326;       0;     0.0;    -0.7
23.02.2024 00:56:00;    8.81;   0.626;  -0.004;  -5.975;       0;     0.0;    -0.8
23.02.2024 00:57:00;    8.78;   0.625;  -0.005;  -6.415;       0;     0.0;    -0.9
23.02.2024 00:58:00;    8.75;   0.625;  -0.005;  -6.309;       0;     0.0;    -0.9
23.02.2024 00:59:00;    8.70;   0.626;  -0.005;  -6.123;       0;     0.0;    -1.0
23.02.2024 01:00:00;    8.70;   0.630;  -0.004;  -5.845;       0;     0.0;    -0.9
23.02.2024 01:01:00;    8.73;   0.631;  -0.003;  -6.825;       0;     0.0;    -0.7
23.02.2024 01:02:00;    8.76;   0.629;  -0.003;  -6.753;       0;     0.0;    -0.5
23.02.2024 01:03:00;    8.75;   0.627;  -0.002;  -6.130;       0;     0.0;    -0.5
23.02.2024 01:04:00;    8.74;   0.627;  -0.002;  -7.010;       0;     0.0;    -0.5
23.02.2024 01:05:00;    8.71;   0.628;  -0.003;  -4.735;       0;     0.0;    -0.5
23.02.2024 01:06:00;    8.66;   0.630;  -0.003;  -6.046;       0;     0.0;    -0.6
23.02.2024 01:07:00;    8.61;   0.634;  -0.003;  -6.498;       0;     0.0;    -0.6
23.02.2024 01:08:00;    8.58;   0.640;  -0.003;  -5.811;       0;     0.0;    -0.6
23.02.2024 01:09:00;    8.62;   0.646;  -0.003;  -6.715;       0;     0.0;    -0.5
23.02.2024 01:10:00;    8.65;   0.645;  -0.002;  -5.615;       0;     0.0;    -0.5
23.02.2024 01:11:00;    8.64;   0.644;  -0.002;  -5.004;       0;     0.0;    -0.5
23.02.2024 01:12:00;    8.63;   0.645;  -0.002;  -6.004;       0;     0.0;    -0.5
23.02.2024 01:13:00;    8.65;   0.647;  -0.002;  -6.220;       0;     0.0;    -0.5
23.02.2024 01:14:00;    8.69;   0.645;  -0.002;  -5.324;       0;     0.0;    -0.4
23.02.2024 01:15:00;    8.72;   0.640;  -0.002;  -6.242;       0;     0.0;    -0.4
23.02.2024 01:16:00;    8.71;   0.638;  -0.002;  -7.147;       0;     0.0;    -0.4
23.02.2024 01:17:00;    8.74;   0.638;  -0.002;  -7.141;       0;     0.0;    -0.4
23.02.2024 01:18:00;    8.75;   0.635;  -0.002;  -7.657;       0;     0.0;    -0.4
23.02.2024 01:19:00;    8.72;   0.632;  -0.002;  -5.657;       0;     0.0;    -0.5
23.02.2024 01:20:00;    8.67;   0.633;  -0.003;  -6.948;       0;     0.0;    -0.6
23.02.2024 01:21:00;    8.63;   0.636;  -0.003;  -6.125;       0;     0.0;    -0.6
23.02.2024 01:22:00;    8.59;   0.638;  -0.003;  -6.514;       0;     0.0;    -0.6
23.02.2024 01:23:00;    8.54;   0.641;  -0.003;  -6.052;       0;     0.0;    -0.6
23.02.2024 01:24:00;    8.50;   0.643;  -0.004;  -4.589;       0;     0.0;    -0.8
23.02.2024 01:25:00;    8.42;   0.642;  -0.007;  -5.425;       0;     0.0;    -1.4
23.02.2024 01:26:00;    8.33;   0.646;  -0.009;  -6.492;       0;     0.0;    -1.7
23.02.2024 01:27:00;    8.29;   0.649;  -0.009;  -6.664;       0;     0.0;    -1.7
23.02.2024 01:28:00;    8.24;   0.651;  -0.008;  -6.227;       0;     0.0;    -1.7
23.02.2024 01:29:00;    8.19;   0.653;  -0.008;  -6.052;       0;     0.0;    -1.6
23.02.2024 01:30:00;    8.11;   0.655;  -0.008;  -6.359;       0;     0.0;    -1.6
23.02.2024 01:31:00;    8.02;   0.660;  -0.008;  -6.681;       0;     0.0;    -1.6
23.02.2024 01:32:00;    8.00;   0.667;  -0.007;  -6.556;       0;     0.0;    -1.5
23.02.2024 01:33:00;    8.00;   0.668;  -0.007;  -6.678;       0;     0.0;    -1.4
23.02.2024 01:34:00;    8.02;   0.668;  -0.007;  -7.259;       0;     0.0;    -1.4
23.02.2024 01:35:00;    8.01;   0.663;  -0.007;  -5.982;       0;     0.0;    -1.4
23.02.2024 01:36:00;    7.94;   0.660;  -0.008;  -6.093;       0;     0.0;    -1.6
23.02.2024 01:37:00;    7.83;   0.661;  -0.009;  -5.479;       0;     0.0;    -1.8
23.02.2024 01:38:00;    7.72;   0.665;  -0.010;  -6.688;       0;     0.0;    -2.0
23.02.2024 01:39:00;    7.66;   0.670;  -0.010;  -6.844;       0;     0.0;    -1.9
23.02.2024 01:40:00;    7.59;   0.673;  -0.010;  -6.983;       0;     0.0;    -1.9
23.02.2024 01:41:00;    7.56;   0.679;  -0.009;  -7.973;       0;     0.0;    -1.7
23.02.2024 01:42:00;    7.60;   0.683;  -0.007;  -7.287;       0;     0.0;    -1.3
23.02.2024 01:43:00;    7.60;   0.680;  -0.006;  -7.042;       0;     0.0;    -1.2
23.02.2024 01:44:00;    7.58;   0.679;  -0.005;  -7.822;       0;     0.0;    -1.1
23.02.2024 01:45:00;    7.58;   0.679;  -0.004;  -6.497;       0;     0.0;    -0.9
23.02.2024 01:46:00;    7.53;   0.679;  -0.005;  -6.495;       0;     0.0;    -1.0
23.02.2024 01:47:00;    7.49;   0.681;  -0.007;   0.082;       0;     0.0;    -1.3
23.02.2024 01:48:00;    7.42;   0.684;   0.005;  15.651;       0;     0.0;     1.0
23.02.2024 01:49:00;    7.31;   0.686;   0.013;  20.000;       0;     0.0;     2.7
23.02.2024 01:50:00;    7.18;   0.690;   0.015;  20.000;       0;     0.0;     2.9
