         Datum/Zeit;    Temp; Feuchte;   PyrUp;   PyrDn;   Regen;Lüfterdrehzahl;Globalstrahlung
01.02.2024 12:45:00;    7.20;   0.680;   0.909;   8.821;       0;     0.0;   180.4
01.02.2024 12:46:00;    7.72;   0.728;   1.702;   5.006;       0;     0.0;   337.7
01.02.2024 12:47:00;    7.66;   0.725;   1.824;   5.381;       0;     0.0;   361.9
01.02.2024 12:48:00;    7.71;   0.730;   1.770;   8.388;       0;     0.0;   351.2
01.02.2024 12:49:00;    7.83;   0.735;   1.502;   8.993;       0;     0.0;   298.0
01.02.2024 12:50:00;    7.82;   0.732;   0.989;  12.474;       0;     0.0;   196.2
01.02.2024 12:51:00;    7.84;   0.733;   1.134;  12.375;       0;     0.0;   225.0
01.02.2024 12:52:00;    7.82;   0.732;   0.800;  11.240;       0;     0.0;   158.6
01.02.2024 12:53:00;    7.70;   0.728;   1.162;   9.770;       0;     0.0;   230.6
01.02.2024 12:54:00;    7.58;   0.729;   1.118;   7.032;       0;     0.0;   221.8
01.02.2024 12:55:00;    7.49;   0.730;   0.487;   8.511;       0;     0.0;    96.6
01.02.2024 12:56:00;    7.40;   0.731;   0.702;   9.640;       0;     0.0;   139.4
01.02.2024 12:57:00;    7.33;   0.733;   0.578;   7.003;       0;     0.0;   114.6
01.02.2024 12:58:00;    7.24;   0.733;   0.441;   8.629;       0;     0.0;    87.4
01.02.2024 12:59:00;    7.15;   0.734;   0.461;   6.642;       0;     0.0;    91.4
01.02.2024 13:00:00;    7.08;   0.736;   0.504;   4.059;       0;     0.0;   100.0
01.02.2024 13:01:00;    7.06;   0.739;   0.572;   6.544;       0;     0.0;   113.5
01.02.2024 13:02:00;    7.03;   0.740;   0.584;   8.619;       0;     0.0;   115.8
01.02.2024 13:03:00;    7.03;   0.743;   0.665;   8.180;       0;     0.0;   132.0
01.02.2024 13:04:00;    7.00;   0.743;   0.709;   6.738;       0;     0.0;   140.7
01.02.2024 13:05:00;    7.01;   0.746;   0.806;   5.412;       0;     0.0;   159.9
01.02.2024 13:06:00;    7.03;   0.749;   1.240;   4.928;       0;     0.0;   246.1
01.02.2024 13:07:00;    7.05;   0.749;   1.429;   4.714;       0;     0.0;   283.5
01.02.2024 13:08:00;    7.10;   0.752;   1.424;   4.453;       0;     0.0;   282.5
01.02.2024 13:09:00;    7.15;   0.751;   0.823;   3.020;       0;     0.0;   163.3
01.02.2024 13:10:00;    7.18;   0.749;   1.066;   2.978;       0;     0.0;   211.5
01.02.2024 13:11:00;    7.22;   0.749;   0.753;   3.386;       0;     0.0;   149.4
01.02.2024 13:12:00;    7.26;   0.749;   1.221;   4.218;       0;     0.0;   242.4
01.02.2024 13:13:00;    7.27;   0.747;   0.667;   3.778;       0;     0.0;   132.4
01.02.2024 13:14:00;    7.25;   0.743;   1.009;   7.968;       0;     0.0;   200.2
01.02.2024 13:15:00;    7.24;   0.743;   0.949;   9.351;       0;     0.0;   188.2
01.02.2024 13:16:00;    7.26;   0.744;   1.291;  11.170;       0;     0.0;   256.2
01.02.2024 13:17:00;    7.30;   0.745;   1.333;   8.969;       0;     0.0;   264.4
01.02.2024 13:18:00;    7.32;   0.745;   1.299;   9.078;       0;     0.0;   257.8
01.02.2024 13:19:00;    7.40;   0.747;   1.335;   8.248;       0;     0.0;   264.8
01.02.2024 13:20:00;    7.44;   0.745;   1.356;   7.933;       0;     0.0;   269.0
01.02.2024 13:21:00;    7.49;   0.744;   1.350;   8.641;       0;     0.0;   267.8
01.02.2024 13:22:00;    7.49;   0.740;   1.356;   7.073;       0;     0.0;   269.1
01.02.2024 13:23:00;    7.51;   0.738;   1.337;   8.329;       0;     0.0;   265.3
01.02.2024 13:24:00;    7.60;   0.739;   1.332;   8.315;       0;     0.0;   264.4
01.02.2024 13:25:00;    7.71;   0.741;   1.324;   9.454;       0;     0.0;   262.7
01.02.2024 13:26:00;    7.79;   0.739;   1.214;   8.086;       0;     0.0;   240.9
01.02.2024 13:27:00;    7.81;   0.735;   1.171;   6.923;       0;     0.0;   232.4
01.02.2024 13:28:00;    7.81;   0.731;   1.277;   7.634;       0;     0.0;   253.4
01.02.2024 13:29:00;    7.85;   0.731;   1.053;   6.973;       0;     0.0;   208.9
01.02.2024 13:30:00;    7.88;   0.730;   1.103;   7.668;       0;     0.0;   218.9
01.02.2024 13:31:00;    7.90;   0.729;   0.869;   6.610;       0;     0.0;   172.5
01.02.2024 13:32:00;    7.84;   0.723;   1.264;   7.451;       0;     0.0;   250.7
01.02.2024 13:33:00;    7.79;   0.721;   1.190;   4.048;       0;     0.0;   236.1
01.02.2024 13:34:00;    7.80;   0.723;   0.607;   6.076;       0;     0.0;   120.4
01.02.2024 13:35:00;    7.79;   0.722;   0.836;   7.786;       0;     0.0;   165.8
01.02.2024 13:36:00;    7.76;   0.722;   1.261;   7.368;       0;     0.0;   250.3
01.02.2024 13:37:00;    7.72;   0.722;   1.241;   7.340;       0;     0.0;   246.3
