         Datum/Zeit;Geneigt CM-11(W/m2);Temp Bentham Box;Global CMP-11(W/m2);Diffus CMP-11(W/m2);CO2 Sensor; CO2 ppm;Temp AMUDIS Box
26.01.2024 00:00:00;   -3.62;    18.2;    -3.2;    -3.6;  19.988;   999.3;    21.4
26.01.2024 00:01:00;   -3.62;    18.3;    -3.3;    -3.6;  19.988;   999.3;    20.5
26.01.2024 00:02:00;   -3.63;    18.3;    -3.3;    -3.6;  19.988;   999.3;    20.4
26.01.2024 00:03:00;   -3.62;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.1
26.01.2024 00:04:00;   -3.63;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.3
26.01.2024 00:05:00;   -3.63;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.1
26.01.2024 00:06:00;   -3.64;    18.2;    -3.3;    -3.6;  19.988;   999.3;    20.2
26.01.2024 00:07:00;   -3.63;    18.3;    -3.3;    -3.6;  19.988;   999.3;    20.7
26.01.2024 00:08:00;   -3.65;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.2
26.01.2024 00:09:00;   -3.67;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.3
26.01.2024 00:10:00;   -3.65;    18.3;    -3.3;    -3.6;  19.988;   999.3;    20.3
26.01.2024 00:11:00;   -3.66;    18.3;    -3.3;    -3.6;  19.988;   999.3;    20.6
26.01.2024 00:12:00;   -3.67;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.1
26.01.2024 00:13:00;   -3.68;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.2
26.01.2024 00:14:00;   -3.64;    18.2;    -3.3;    -3.6;  19.988;   999.3;    20.5
26.01.2024 00:15:00;   -3.63;    18.3;    -3.3;    -3.6;  19.988;   999.3;    20.3
26.01.2024 00:16:00;   -3.64;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.1
26.01.2024 00:17:00;   -3.64;    18.2;    -3.3;    -3.6;  19.988;   999.3;    21.4
26.01.2024 00:18:00;   -3.62;    18.3;    -3.3;    -3.6;  19.988;   999.3;    20.8
26.01.2024 00:19:00;   -3.63;    18.2;    -3.3;    -3.6;  19.988;   999.3;    20.3
26.01.2024 00:20:00;   -3.63;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.0
26.01.2024 00:21:00;   -3.62;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.4
26.01.2024 00:22:00;   -3.62;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.1
26.01.2024 00:23:00;   -3.61;    18.3;    -3.3;    -3.6;  19.988;   999.3;    20.1
26.01.2024 00:24:00;   -3.62;    18.3;    -3.3;    -3.6;  19.988;   999.3;    20.8
26.01.2024 00:25:00;   -3.62;    18.2;    -3.3;    -3.6;  19.988;   999.3;    21.3
26.01.2024 00:26:00;   -3.62;    18.3;    -3.3;    -3.6;  19.988;   999.3;    21.4
