         Datum/Zeit;Geneigt CM-11(W/m2);Temp Bentham Box;Global CMP-11(W/m2);Diffus CMP-11(W/m2);CO2 Sensor; CO2 ppm;Temp AMUDIS Box
10.01.2024 00:00:00;   -5.51;    17.5;    -5.4;    -5.6;  19.989;   999.3;    19.9
10.01.2024 00:01:00;   -5.44;    17.6;    -5.1;    -5.6;  19.988;   999.3;    21.1
10.01.2024 00:02:00;   -5.36;    17.5;    -5.0;    -5.5;  19.988;   999.3;    21.0
10.01.2024 00:03:00;   -5.36;    17.5;    -5.1;    -5.5;  19.989;   999.3;    19.9
10.01.2024 00:04:00;   -5.36;    17.4;    -5.3;    -5.5;  19.989;   999.3;    20.4
10.01.2024 00:05:00;   -5.38;    17.4;    -5.2;    -5.5;  19.989;   999.3;    21.1
10.01.2024 00:06:00;   -5.37;    17.5;    -5.3;    -5.5;  19.988;   999.3;    21.1
10.01.2024 00:07:00;   -5.36;    17.5;    -5.1;    -5.5;  19.989;   999.3;    20.2
10.01.2024 00:08:00;   -5.41;    17.5;    -5.3;    -5.5;  19.989;   999.3;    20.3
10.01.2024 00:09:00;   -5.42;    17.5;    -5.2;    -5.5;  19.988;   999.3;    21.2
10.01.2024 00:10:00;   -5.42;    17.5;    -5.3;    -5.5;  19.988;   999.3;    21.0
10.01.2024 00:11:00;   -5.45;    17.5;    -5.4;    -5.6;  19.988;   999.3;    19.9
10.01.2024 00:12:00;   -5.55;    17.6;    -5.6;    -5.7;  19.989;   999.3;    20.7
10.01.2024 00:13:00;   -5.57;    17.6;    -5.6;    -5.7;  19.989;   999.3;    21.2
10.01.2024 00:14:00;   -5.59;    17.6;    -5.6;    -5.7;  19.989;   999.3;    20.5
10.01.2024 00:15:00;   -5.60;    17.6;    -5.7;    -5.7;  19.988;   999.3;    19.8
10.01.2024 00:16:00;   -5.64;    17.6;    -5.8;    -5.8;  19.988;   999.3;    20.8
10.01.2024 00:17:00;   -5.63;    17.6;    -5.7;    -5.8;  19.989;   999.3;    21.3
10.01.2024 00:18:00;   -5.62;    17.6;    -5.6;    -5.7;  19.988;   999.3;    20.5
10.01.2024 00:19:00;   -5.58;    17.6;    -5.5;    -5.7;  19.988;   999.3;    20.1
10.01.2024 00:20:00;   -5.60;    17.6;    -5.5;    -5.7;  19.988;   999.3;    20.7
10.01.2024 00:21:00;   -5.61;    17.7;    -5.7;    -5.7;  19.988;   999.3;    21.2
10.01.2024 00:22:00;   -5.64;    17.6;    -5.7;    -5.8;  19.988;   999.3;    20.7
10.01.2024 00:23:00;   -5.66;    17.7;    -5.7;    -5.8;  19.989;   999.3;    19.8
10.01.2024 00:24:00;   -5.59;    17.7;    -5.5;    -5.8;  19.989;   999.3;    20.5
10.01.2024 00:25:00;   -5.48;    17.7;    -5.4;    -5.7;  19.989;   999.3;    21.2
10.01.2024 00:26:00;   -5.39;    17.7;    -5.3;    -5.6;  19.988;   999.3;    20.3
10.01.2024 00:27:00;   -5.34;    17.7;    -5.3;    -5.5;  19.989;   999.3;    19.8
10.01.2024 00:28:00;   -5.34;    17.6;    -5.3;    -5.5;  19.988;   999.3;    21.0
10.01.2024 00:29:00;   -5.32;    17.6;    -5.2;    -5.5;  19.989;   999.3;    21.3
10.01.2024 00:30:00;   -5.32;    17.6;    -5.3;    -5.5;  19.988;   999.3;    20.2
10.01.2024 00:31:00;   -5.34;    17.5;    -5.3;    -5.5;  19.989;   999.3;    20.2
10.01.2024 00:32:00;   -5.37;    17.5;    -5.3;    -5.5;  19.988;   999.3;    20.9
10.01.2024 00:33:00;   -5.36;    17.5;    -5.2;    -5.5;  19.989;   999.3;    21.3
10.01.2024 00:34:00;   -5.33;    17.5;    -5.2;    -5.5;  19.988;   999.3;    20.3
10.01.2024 00:35:00;   -5.36;    17.4;    -5.4;    -5.5;  19.989;   999.3;    20.1
10.01.2024 00:36:00;   -5.43;    17.4;    -5.5;    -5.6;  19.989;   999.3;    21.1
10.01.2024 00:37:00;   -5.44;    17.4;    -5.5;    -5.6;  19.988;   999.3;    21.4
10.01.2024 00:38:00;   -5.45;    17.4;    -5.5;    -5.6;  19.989;   999.3;    20.1
10.01.2024 00:39:00;   -5.44;    17.4;    -5.5;    -5.6;  19.989;   999.3;    20.2
10.01.2024 00:40:00;   -5.41;    17.5;    -5.4;    -5.6;  19.989;   999.3;    21.0
10.01.2024 00:41:00;   -5.36;    17.5;    -5.3;    -5.5;  19.989;   999.3;    21.3
10.01.2024 00:42:00;   -5.37;    17.4;    -5.4;    -5.5;  19.989;   999.3;    20.2
10.01.2024 00:43:00;   -5.34;    17.4;    -5.3;    -5.5;  19.989;   999.3;    19.9
10.01.2024 00:44:00;   -5.35;    17.4;    -5.3;    -5.5;  19.989;   999.3;    21.0
10.01.2024 00:45:00;   -5.33;    17.4;    -5.3;    -5.5;  19.988;   999.3;    21.4
10.01.2024 00:46:00;   -5.27;    17.4;    -5.2;    -5.5;  19.988;   999.3;    20.0
10.01.2024 00:47:00;   -5.28;    17.4;    -5.3;    -5.5;  19.989;   999.3;    20.0
10.01.2024 00:48:00;   -5.27;    17.4;    -5.2;    -5.4;  19.989;   999.3;    20.9
10.01.2024 00:49:00;   -5.25;    17.3;    -5.2;    -5.4;  19.989;   999.3;    21.2
10.01.2024 00:50:00;   -5.28;    17.3;    -5.4;    -5.5;  19.989;   999.3;    20.3
10.01.2024 00:51:00;   -5.27;    17.2;    -5.3;    -5.4;  19.989;   999.3;    19.6
10.01.2024 00:52:00;   -5.25;    17.2;    -5.2;    -5.4;  19.989;   999.3;    21.0
10.01.2024 00:53:00;   -5.23;    17.2;    -5.2;    -5.3;  19.989;   999.3;    21.3
10.01.2024 00:54:00;   -5.24;    17.1;    -5.2;    -5.4;  19.989;   999.3;    21.1
10.01.2024 00:55:00;   -5.22;    17.1;    -5.1;    -5.4;  19.988;   999.3;    20.2
10.01.2024 00:56:00;   -5.22;    17.1;    -5.1;    -5.4;  19.989;   999.3;    19.8
10.01.2024 00:57:00;   -5.25;    17.1;    -5.2;    -5.4;  19.988;   999.3;    21.0
10.01.2024 00:58:00;   -5.33;    17.0;    -5.4;    -5.4;  19.988;   999.3;    21.4
10.01.2024 00:59:00;   -5.44;    17.1;    -5.6;    -5.6;  19.989;   999.3;    20.3
10.01.2024 01:00:00;   -5.55;    17.1;    -5.7;    -5.7;  19.989;   999.3;    20.4
10.01.2024 01:01:00;   -5.67;    17.2;    -5.9;    -5.8;  19.988;   999.3;    21.0
10.01.2024 01:02:00;   -5.75;    17.2;    -5.9;    -5.9;  19.988;   999.3;    21.4
10.01.2024 01:03:00;   -5.77;    17.3;    -5.8;    -5.9;  19.988;   999.3;    20.2
10.01.2024 01:04:00;   -5.72;    17.3;    -5.7;    -5.9;  19.988;   999.3;    19.7
10.01.2024 01:05:00;   -5.62;    17.4;    -5.5;    -5.8;  19.988;   999.3;    21.0
