         Datum/Zeit;Geneigt CM-11(W/m2);Temp Bentham Box;Global CMP-11(W/m2);Diffus CMP-11(W/m2);CO2 Sensor; CO2 ppm;Temp AMUDIS Box
09.01.2024 00:00:00;   -5.67;    16.7;    -5.6;    -5.8;  19.989;   999.3;    20.4
09.01.2024 00:01:00;   -5.61;    16.7;    -5.5;    -5.7;  19.989;   999.3;    21.2
09.01.2024 00:02:00;   -5.55;    16.6;    -5.3;    -5.7;  19.989;   999.3;    20.4
09.01.2024 00:03:00;   -5.52;    16.6;    -5.3;    -5.6;  19.989;   999.3;    20.1
09.01.2024 00:04:00;   -5.51;    16.5;    -5.4;    -5.6;  19.989;   999.3;    20.5
09.01.2024 00:05:00;   -5.50;    16.5;    -5.5;    -5.6;  19.989;   999.3;    21.2
09.01.2024 00:06:00;   -5.57;    16.6;    -5.7;    -5.7;  19.989;   999.3;    20.7
09.01.2024 00:07:00;   -5.61;    16.6;    -5.6;    -5.8;  19.989;   999.3;    19.9
09.01.2024 00:08:00;   -5.69;    16.6;    -5.7;    -5.8;  19.989;   999.3;    20.8
09.01.2024 00:09:00;   -5.72;    16.7;    -5.8;    -5.9;  19.989;   999.3;    21.4
09.01.2024 00:10:00;   -5.70;    16.7;    -5.7;    -5.9;  19.989;   999.3;    21.3
09.01.2024 00:11:00;   -5.65;    16.6;    -5.6;    -5.8;  19.989;   999.3;    20.1
09.01.2024 00:12:00;   -5.65;    16.6;    -5.5;    -5.7;  19.989;   999.3;    19.7
09.01.2024 00:13:00;   -5.67;    16.6;    -5.5;    -5.8;  19.989;   999.3;    20.6
09.01.2024 00:14:00;   -5.67;    16.6;    -5.4;    -5.7;  19.989;   999.3;    21.2
09.01.2024 00:15:00;   -5.70;    16.5;    -5.5;    -5.7;  19.989;   999.3;    20.1
09.01.2024 00:16:00;   -5.77;    16.5;    -5.7;    -5.8;  19.989;   999.3;    20.3
09.01.2024 00:17:00;   -5.76;    16.6;    -5.6;    -5.8;  19.989;   999.3;    21.2
09.01.2024 00:18:00;   -5.76;    16.6;    -5.7;    -5.8;  19.989;   999.3;    21.0
09.01.2024 00:19:00;   -5.77;    16.6;    -5.8;    -5.8;  19.989;   999.3;    20.1
09.01.2024 00:20:00;   -5.83;    16.6;    -5.9;    -5.9;  19.989;   999.3;    20.7
09.01.2024 00:21:00;   -5.88;    16.7;    -5.9;    -6.0;  19.989;   999.3;    21.2
09.01.2024 00:22:00;   -5.84;    16.7;    -5.8;    -6.0;  19.989;   999.3;    20.6
09.01.2024 00:23:00;   -5.78;    16.7;    -5.6;    -5.9;  19.989;   999.3;    20.0
09.01.2024 00:24:00;   -5.69;    16.6;    -5.5;    -5.8;  19.989;   999.3;    20.3
09.01.2024 00:25:00;   -5.62;    16.6;    -5.3;    -5.7;  19.989;   999.3;    21.3
09.01.2024 00:26:00;   -5.54;    16.5;    -5.2;    -5.7;  19.989;   999.3;    20.8
09.01.2024 00:27:00;   -5.53;    16.5;    -5.3;    -5.7;  19.989;   999.3;    19.9
09.01.2024 00:28:00;   -5.56;    16.5;    -5.3;    -5.7;  19.989;   999.3;    20.5
