         Datum/Zeit;Geneigt CM-11(W/m2);Temp Bentham Box;Global CMP-11(W/m2);Diffus CMP-11(W/m2);CO2 Sensor; CO2 ppm;Temp AMUDIS Box
30.01.2024 00:00:00;   -5.22;    18.2;    -5.1;    -5.5;  19.988;   999.3;    21.4
30.01.2024 00:01:00;   -5.22;    18.3;    -5.1;    -5.5;  19.988;   999.3;    20.3
30.01.2024 00:02:00;   -5.23;    18.3;    -5.2;    -5.5;  19.988;   999.3;    20.7
30.01.2024 00:03:00;   -5.17;    18.3;    -4.8;    -5.5;  19.988;   999.3;    21.2
30.01.2024 00:04:00;   -5.18;    18.3;    -4.8;    -5.4;  19.988;   999.3;    21.5
30.01.2024 00:05:00;   -5.19;    18.2;    -5.0;    -5.5;  19.988;   999.3;    20.4
30.01.2024 00:06:00;   -5.17;    18.2;    -5.0;    -5.5;  19.988;   999.3;    20.5
30.01.2024 00:07:00;   -5.17;    18.3;    -4.9;    -5.4;  19.988;   999.3;    21.2
30.01.2024 00:08:00;   -5.18;    18.2;    -5.0;    -5.4;  19.988;   999.3;    21.4
30.01.2024 00:09:00;   -5.22;    18.2;    -5.1;    -5.5;  19.988;   999.3;    20.3
30.01.2024 00:10:00;   -5.23;    18.3;    -5.1;    -5.5;  19.988;   999.3;    20.6
30.01.2024 00:11:00;   -5.24;    18.3;    -5.1;    -5.5;  19.988;   999.3;    21.1
30.01.2024 00:12:00;   -5.20;    18.2;    -4.9;    -5.5;  19.988;   999.3;    21.4
30.01.2024 00:13:00;   -5.23;    18.3;    -5.1;    -5.5;  19.988;   999.3;    20.7
30.01.2024 00:14:00;   -5.22;    18.2;    -5.1;    -5.5;  19.988;   999.3;    20.2
30.01.2024 00:15:00;   -5.23;    18.2;    -5.1;    -5.5;  19.988;   999.3;    21.1
30.01.2024 00:16:00;   -5.21;    18.2;    -5.0;    -5.5;  19.988;   999.3;    21.4
30.01.2024 00:17:00;   -5.25;    18.2;    -5.3;    -5.6;  19.988;   999.3;    21.3
30.01.2024 00:18:00;   -5.23;    18.3;    -5.2;    -5.6;  19.988;   999.3;    20.2
30.01.2024 00:19:00;   -5.22;    18.2;    -5.2;    -5.6;  19.988;   999.3;    20.8
30.01.2024 00:20:00;   -5.19;    18.3;    -5.0;    -5.5;  19.988;   999.3;    21.3
30.01.2024 00:21:00;   -5.17;    18.3;    -5.0;    -5.5;  19.988;   999.3;    21.4
30.01.2024 00:22:00;   -5.12;    18.2;    -5.0;    -5.5;  19.988;   999.3;    20.2
30.01.2024 00:23:00;   -5.12;    18.2;    -4.9;    -5.4;  19.988;   999.3;    20.5
30.01.2024 00:24:00;   -5.06;    18.2;    -4.7;    -5.4;  19.988;   999.3;    21.2
30.01.2024 00:25:00;   -5.07;    18.2;    -4.9;    -5.4;  19.988;   999.3;    21.4
30.01.2024 00:26:00;   -5.10;    18.3;    -5.0;    -5.4;  19.988;   999.3;    20.6
30.01.2024 00:27:00;   -5.12;    18.3;    -5.0;    -5.4;  19.988;   999.3;    20.4
30.01.2024 00:28:00;   -5.12;    18.2;    -5.1;    -5.5;  19.988;   999.3;    21.1
30.01.2024 00:29:00;   -5.12;    18.3;    -5.0;    -5.5;  19.988;   999.3;    21.4
30.01.2024 00:30:00;   -5.08;    18.2;    -4.9;    -5.5;  19.988;   999.3;    20.9
30.01.2024 00:31:00;   -5.07;    18.2;    -5.0;    -5.5;  19.988;   999.3;    20.2
30.01.2024 00:32:00;   -5.07;    18.2;    -4.9;    -5.5;  19.988;   999.3;    21.0
30.01.2024 00:33:00;   -5.11;    18.2;    -5.0;    -5.5;  19.988;   999.3;    21.4
30.01.2024 00:34:00;   -5.08;    18.2;    -4.9;    -5.5;  19.988;   999.3;    21.4
30.01.2024 00:35:00;   -5.11;    18.3;    -5.0;    -5.5;  19.988;   999.3;    20.2
30.01.2024 00:36:00;   -5.14;    18.2;    -5.1;    -5.5;  19.988;   999.3;    20.7
30.01.2024 00:37:00;   -5.15;    18.2;    -5.1;    -5.5;  19.988;   999.3;    21.3
30.01.2024 00:38:00;   -5.23;    18.3;    -5.3;    -5.6;  19.988;   999.3;    21.4
30.01.2024 00:39:00;   -5.25;    18.3;    -5.3;    -5.6;  19.988;   999.3;    20.3
30.01.2024 00:40:00;   -5.23;    18.3;    -5.1;    -5.6;  19.988;   999.3;    20.5
30.01.2024 00:41:00;   -5.16;    18.3;    -5.0;    -5.5;  19.988;   999.3;    21.1
30.01.2024 00:42:00;   -5.15;    18.2;    -5.0;    -5.5;  19.988;   999.3;    21.4
30.01.2024 00:43:00;   -5.08;    18.3;    -5.0;    -5.5;  19.988;   999.3;    20.7
30.01.2024 00:44:00;   -5.14;    18.2;    -5.0;    -5.5;  19.988;   999.3;    20.2
30.01.2024 00:45:00;   -5.21;    18.3;    -5.3;    -5.5;  19.988;   999.3;    21.1
30.01.2024 00:46:00;   -5.30;    18.3;    -5.5;    -5.6;  19.988;   999.3;    21.3
30.01.2024 00:47:00;   -5.37;    18.2;    -5.6;    -5.7;  19.988;   999.3;    21.4
30.01.2024 00:48:00;   -5.35;    18.3;    -5.4;    -5.7;  19.988;   999.3;    20.3
30.01.2024 00:49:00;   -5.36;    18.3;    -5.4;    -5.6;  19.988;   999.3;    20.7
30.01.2024 00:50:00;   -5.37;    18.2;    -5.4;    -5.6;  19.988;   999.3;    21.2
30.01.2024 00:51:00;   -5.34;    18.3;    -5.2;    -5.5;  19.988;   999.3;    21.5
30.01.2024 00:52:00;   -5.33;    18.2;    -5.2;    -5.5;  19.988;   999.3;    20.4
30.01.2024 00:53:00;   -5.30;    18.2;    -5.2;    -5.5;  19.988;   999.3;    20.4
30.01.2024 00:54:00;   -5.31;    18.3;    -5.2;    -5.5;  19.988;   999.3;    21.2
30.01.2024 00:55:00;   -5.31;    18.2;    -5.2;    -5.5;  19.988;   999.3;    21.3
30.01.2024 00:56:00;   -5.30;    18.2;    -5.2;    -5.5;  19.988;   999.3;    20.9
30.01.2024 00:57:00;   -5.27;    18.2;    -5.1;    -5.5;  19.988;   999.3;    20.2
30.01.2024 00:58:00;   -5.25;    18.2;    -5.0;    -5.5;  19.988;   999.3;    20.9
30.01.2024 00:59:00;   -5.25;    18.3;    -5.1;    -5.5;  19.988;   999.3;    21.4
30.01.2024 01:00:00;   -5.25;    18.3;    -5.1;    -5.5;  19.988;   999.3;    21.4
30.01.2024 01:01:00;   -5.28;    18.2;    -5.2;    -5.5;  19.988;   999.3;    20.2
30.01.2024 01:02:00;   -5.28;    18.3;    -5.2;    -5.6;  19.988;   999.3;    20.8
30.01.2024 01:03:00;   -5.28;    18.2;    -5.2;    -5.6;  19.988;   999.3;    21.3
30.01.2024 01:04:00;   -5.30;    18.2;    -5.3;    -5.6;  19.988;   999.3;    21.4
30.01.2024 01:05:00;   -5.26;    18.3;    -5.1;    -5.6;  19.989;   999.3;    20.4
30.01.2024 01:06:00;   -5.24;    18.2;    -5.2;    -5.5;  19.988;   999.3;    20.4
30.01.2024 01:07:00;   -5.21;    18.3;    -5.1;    -5.5;  19.988;   999.3;    21.2
30.01.2024 01:08:00;   -5.16;    18.3;    -5.0;    -5.5;  19.988;   999.3;    21.4
30.01.2024 01:09:00;   -5.17;    18.2;    -5.1;    -5.5;  19.988;   999.3;    20.8
30.01.2024 01:10:00;   -5.13;    18.3;    -5.0;    -5.4;  19.988;   999.3;    20.1
30.01.2024 01:11:00;   -5.10;    18.3;    -4.9;    -5.4;  19.988;   999.3;    21.1
30.01.2024 01:12:00;   -5.12;    18.2;    -5.1;    -5.4;  19.988;   999.3;    21.3
30.01.2024 01:13:00;   -5.07;    18.3;    -4.9;    -5.4;  19.988;   999.3;    21.2
30.01.2024 01:14:00;   -5.03;    18.3;    -4.7;    -5.4;  19.988;   999.3;    20.2
30.01.2024 01:15:00;   -5.03;    18.3;    -4.9;    -5.3;  19.988;   999.3;    20.7
30.01.2024 01:16:00;   -4.98;    18.3;    -4.7;    -5.3;  19.988;   999.3;    21.3
30.01.2024 01:17:00;   -4.98;    18.2;    -4.8;    -5.3;  19.988;   999.3;    21.4
30.01.2024 01:18:00;   -4.99;    18.2;    -4.9;    -5.3;  19.988;   999.3;    20.3
30.01.2024 01:19:00;   -4.98;    18.3;    -4.8;    -5.3;  19.988;   999.3;    20.6
30.01.2024 01:20:00;   -4.97;    18.3;    -4.7;    -5.3;  19.988;   999.3;    21.1
30.01.2024 01:21:00;   -4.96;    18.3;    -4.7;    -5.3;  19.988;   999.3;    21.4
30.01.2024 01:22:00;   -4.91;    18.2;    -4.6;    -5.3;  19.988;   999.3;    20.6
30.01.2024 01:23:00;   -4.89;    18.2;    -4.6;    -5.2;  19.988;   999.3;    20.2
30.01.2024 01:24:00;   -4.87;    18.3;    -4.5;    -5.2;  19.988;   999.3;    21.1
30.01.2024 01:25:00;   -4.88;    18.2;    -4.5;    -5.2;  19.988;   999.3;    21.4
30.01.2024 01:26:00;   -4.81;    18.2;    -4.6;    -5.2;  19.988;   999.3;    20.7
30.01.2024 01:27:00;   -4.84;    18.2;    -4.6;    -5.2;  19.988;   999.3;    20.3
30.01.2024 01:28:00;   -4.86;    18.2;    -4.8;    -5.2;  19.988;   999.3;    21.0
30.01.2024 01:29:00;   -4.90;    18.2;    -4.9;    -5.2;  19.988;   999.3;    21.4
30.01.2024 01:30:00;   -4.90;    18.2;    -4.9;    -5.2;  19.988;   999.3;    21.4
30.01.2024 01:31:00;   -4.89;    18.2;    -4.7;    -5.2;  19.988;   999.3;    20.1
30.01.2024 01:32:00;   -4.88;    18.3;    -4.7;    -5.2;  19.988;   999.3;    20.8
30.01.2024 01:33:00;   -4.89;    18.2;    -4.9;    -5.2;  19.988;   999.3;    21.3
30.01.2024 01:34:00;   -4.89;    18.2;    -5.0;    -5.2;  19.988;   999.3;    21.4
30.01.2024 01:35:00;   -4.89;    18.2;    -4.9;    -5.2;  19.988;   999.3;    20.5
30.01.2024 01:36:00;   -4.88;    18.2;    -4.8;    -5.2;  19.988;   999.3;    20.5
30.01.2024 01:37:00;   -4.88;    18.2;    -4.9;    -5.2;  19.988;   999.3;    21.1
30.01.2024 01:38:00;   -4.90;    18.3;    -5.0;    -5.2;  19.988;   999.3;    21.4
30.01.2024 01:39:00;   -4.88;    18.2;    -4.8;    -5.2;  19.988;   999.3;    20.7
30.01.2024 01:40:00;   -4.86;    18.2;    -4.8;    -5.1;  19.988;   999.3;    20.2
30.01.2024 01:41:00;   -4.86;    18.2;    -4.9;    -5.2;  19.988;   999.3;    21.1
30.01.2024 01:42:00;   -4.88;    18.2;    -4.9;    -5.2;  19.988;   999.3;    21.3
30.01.2024 01:43:00;   -4.88;    18.2;    -5.0;    -5.2;  19.988;   999.3;    21.3
30.01.2024 01:44:00;   -4.88;    18.2;    -4.9;    -5.2;  19.988;   999.3;    20.2
30.01.2024 01:45:00;   -4.86;    18.2;    -4.9;    -5.2;  19.988;   999.3;    20.7
30.01.2024 01:46:00;   -4.82;    18.3;    -4.7;    -5.1;  19.988;   999.3;    21.3
30.01.2024 01:47:00;   -4.75;    18.2;    -4.6;    -5.1;  19.988;   999.3;    21.3
30.01.2024 01:48:00;   -4.77;    18.3;    -4.8;    -5.1;  19.988;   999.3;    20.3
30.01.2024 01:49:00;   -4.74;    18.3;    -4.8;    -5.1;  19.988;   999.3;    20.7
30.01.2024 01:50:00;   -4.78;    18.2;    -4.8;    -5.1;  19.988;   999.3;    21.2
30.01.2024 01:51:00;   -4.78;    18.3;    -4.7;    -5.1;  19.988;   999.3;    21.5
30.01.2024 01:52:00;   -4.77;    18.2;    -4.7;    -5.1;  19.988;   999.3;    20.4
30.01.2024 01:53:00;   -4.72;    18.2;    -4.6;    -5.0;  19.988;   999.3;    20.6
30.01.2024 01:54:00;   -4.73;    18.3;    -4.7;    -5.0;  19.988;   999.3;    21.2
30.01.2024 01:55:00;   -4.67;    18.2;    -4.5;    -5.0;  19.988;   999.3;    21.4
30.01.2024 01:56:00;   -4.69;    18.2;    -4.6;    -5.0;  19.988;   999.3;    20.5
30.01.2024 01:57:00;   -4.66;    18.2;    -4.6;    -5.0;  19.988;   999.3;    20.3
