         Datum/Zeit;Geneigt CM-11(W/m2);Temp Bentham Box;Global CMP-11(W/m2);Diffus CMP-11(W/m2);CO2 Sensor; CO2 ppm;Temp AMUDIS Box
25.02.2024 00:00:00;   -5.56;    18.2;    -5.6;    -6.0;  19.989;   999.3;    20.9
25.02.2024 00:01:00;   -5.60;    18.2;    -5.7;    -6.1;  19.989;   999.3;    21.5
25.02.2024 00:02:00;   -5.57;    18.2;    -5.6;    -6.1;  19.988;   999.3;    21.2
25.02.2024 00:03:00;   -5.65;    18.2;    -5.8;    -6.1;  19.988;   999.3;    20.4
25.02.2024 00:04:00;   -5.63;    18.2;    -5.7;    -6.2;  19.989;   999.3;    21.3
25.02.2024 00:05:00;   -5.58;    18.2;    -5.5;    -6.1;  19.988;   999.3;    21.4
25.02.2024 00:06:00;   -5.60;    18.2;    -5.6;    -6.1;  19.989;   999.3;    20.3
25.02.2024 00:07:00;   -5.50;    18.2;    -5.3;    -6.0;  19.989;   999.3;    20.8
25.02.2024 00:08:00;   -5.58;    18.2;    -5.7;    -6.0;  19.988;   999.3;    21.3
25.02.2024 00:09:00;   -5.60;    18.3;    -5.6;    -6.1;  19.989;   999.3;    20.5
25.02.2024 00:10:00;   -5.53;    18.2;    -5.2;    -6.1;  19.989;   999.3;    20.3
25.02.2024 00:11:00;   -5.51;    18.3;    -5.3;    -6.0;  19.989;   999.3;    21.0
25.02.2024 00:12:00;   -5.52;    18.3;    -5.6;    -6.0;  19.989;   999.3;    21.4
25.02.2024 00:13:00;   -5.57;    18.2;    -5.8;    -6.1;  19.988;   999.3;    20.3
25.02.2024 00:14:00;   -5.58;    18.3;    -5.8;    -6.1;  19.989;   999.3;    20.7
25.02.2024 00:15:00;   -5.63;    18.2;    -6.0;    -6.2;  19.988;   999.3;    21.4
25.02.2024 00:16:00;   -5.66;    18.2;    -6.1;    -6.2;  19.988;   999.3;    20.4
25.02.2024 00:17:00;   -5.69;    18.3;    -6.1;    -6.2;  19.988;   999.3;    20.8
25.02.2024 00:18:00;   -5.72;    18.2;    -6.1;    -6.3;  19.988;   999.3;    21.5
25.02.2024 00:19:00;   -5.73;    18.2;    -6.1;    -6.2;  19.989;   999.3;    21.5
25.02.2024 00:20:00;   -5.67;    18.3;    -5.9;    -6.2;  19.988;   999.3;    20.4
25.02.2024 00:21:00;   -5.67;    18.2;    -6.0;    -6.2;  19.988;   999.3;    21.1
25.02.2024 00:22:00;   -5.67;    18.3;    -5.9;    -6.2;  19.988;   999.3;    21.4
25.02.2024 00:23:00;   -5.64;    18.3;    -5.9;    -6.1;  19.989;   999.3;    20.7
25.02.2024 00:24:00;   -5.64;    18.2;    -5.9;    -6.1;  19.988;   999.3;    20.5
25.02.2024 00:25:00;   -5.69;    18.2;    -6.0;    -6.2;  19.988;   999.3;    21.2
25.02.2024 00:26:00;   -5.70;    18.2;    -6.0;    -6.2;  19.989;   999.3;    21.5
25.02.2024 00:27:00;   -5.77;    18.2;    -6.1;    -6.2;  19.989;   999.3;    20.9
25.02.2024 00:28:00;   -5.79;    18.2;    -6.1;    -6.3;  19.988;   999.3;    20.3
25.02.2024 00:29:00;   -5.77;    18.2;    -6.0;    -6.3;  19.988;   999.3;    21.1
25.02.2024 00:30:00;   -5.73;    18.2;    -6.1;    -6.2;  19.988;   999.3;    21.3
25.02.2024 00:31:00;   -5.72;    18.3;    -6.0;    -6.2;  19.988;   999.3;    20.5
25.02.2024 00:32:00;   -5.71;    18.2;    -6.0;    -6.2;  19.988;   999.3;    20.5
25.02.2024 00:33:00;   -5.76;    18.3;    -6.1;    -6.2;  19.989;   999.3;    21.1
25.02.2024 00:34:00;   -5.75;    18.3;    -6.0;    -6.2;  19.989;   999.3;    21.4
25.02.2024 00:35:00;   -5.77;    18.2;    -5.9;    -6.1;  19.988;   999.3;    20.4
25.02.2024 00:36:00;   -5.75;    18.3;    -5.9;    -6.1;  19.988;   999.3;    20.4
25.02.2024 00:37:00;   -5.75;    18.3;    -6.0;    -6.1;  19.988;   999.3;    21.2
