         Datum/Zeit;Geneigt CM-11(W/m2);Temp Bentham Box;Global CMP-11(W/m2);Diffus CMP-11(W/m2);CO2 Sensor; CO2 ppm;Temp AMUDIS Box
22.02.2024 00:00:00;   -5.74;    18.4;    -4.9;    -5.8;  19.987;   999.2;    20.5
22.02.2024 00:01:00;   -5.70;    18.3;    -4.9;    -5.8;  19.988;   999.3;    20.8
22.02.2024 00:02:00;   -5.71;    18.4;    -4.9;    -5.7;  19.987;   999.2;    21.4
22.02.2024 00:03:00;   -5.77;    18.3;    -4.9;    -5.8;  19.987;   999.2;    20.6
22.02.2024 00:04:00;   -5.87;    18.3;    -5.1;    -5.8;  19.987;   999.2;    20.4
22.02.2024 00:05:00;   -5.88;    18.4;    -5.1;    -5.7;  19.988;   999.2;    21.4
22.02.2024 00:06:00;   -5.87;    18.4;    -5.1;    -5.7;  19.988;   999.3;    20.5
22.02.2024 00:07:00;   -5.85;    18.3;    -5.0;    -5.7;  19.988;   999.3;    20.1
22.02.2024 00:08:00;   -5.80;    18.4;    -4.9;    -5.7;  19.987;   999.3;    20.0
22.02.2024 00:09:00;   -5.78;    18.3;    -4.9;    -5.7;  19.988;   999.3;    21.4
22.02.2024 00:10:00;   -5.74;    18.3;    -4.8;    -5.6;  19.988;   999.3;    21.5
22.02.2024 00:11:00;   -5.69;    18.3;    -4.7;    -5.6;  19.988;   999.3;    20.6
22.02.2024 00:12:00;   -5.61;    18.3;    -4.6;    -5.5;  19.988;   999.3;    20.4
22.02.2024 00:13:00;   -5.54;    18.4;    -4.5;    -5.5;  19.988;   999.3;    21.2
22.02.2024 00:14:00;   -5.51;    18.4;    -4.4;    -5.5;  19.987;   999.3;    20.7
22.02.2024 00:15:00;   -5.47;    18.3;    -4.5;    -5.4;  19.988;   999.3;    20.5
22.02.2024 00:16:00;   -5.43;    18.4;    -4.4;    -5.4;  19.988;   999.2;    21.6
22.02.2024 00:17:00;   -5.39;    18.3;    -4.4;    -5.3;  19.988;   999.3;    21.1
22.02.2024 00:18:00;   -5.29;    18.3;    -4.4;    -5.3;  19.988;   999.3;    21.3
22.02.2024 00:19:00;   -5.23;    18.4;    -4.3;    -5.2;  19.987;   999.3;    22.0
22.02.2024 00:20:00;   -5.24;    18.4;    -4.4;    -5.2;  19.988;   999.2;    21.0
22.02.2024 00:21:00;   -5.26;    18.4;    -4.7;    -5.2;  19.988;   999.3;    21.6
22.02.2024 00:22:00;   -5.39;    18.4;    -4.9;    -5.3;  19.988;   999.3;    20.6
22.02.2024 00:23:00;   -5.50;    18.3;    -5.0;    -5.4;  19.988;   999.3;    20.6
22.02.2024 00:24:00;   -5.50;    18.3;    -4.8;    -5.5;  19.988;   999.3;    21.4
22.02.2024 00:25:00;   -5.44;    18.3;    -4.7;    -5.5;  19.988;   999.3;    20.7
22.02.2024 00:26:00;   -5.43;    18.3;    -4.6;    -5.5;  19.988;   999.3;    20.2
22.02.2024 00:27:00;   -5.44;    18.3;    -4.4;    -5.5;  19.988;   999.3;    20.8
22.02.2024 00:28:00;   -5.44;    18.3;    -4.3;    -5.5;  19.988;   999.3;    21.2
22.02.2024 00:29:00;   -5.40;    18.3;    -4.1;    -5.4;  19.988;   999.3;    20.3
22.02.2024 00:30:00;   -5.36;    18.4;    -4.0;    -5.3;  19.988;   999.3;    21.1
22.02.2024 00:31:00;   -5.33;    18.3;    -3.9;    -5.2;  19.988;   999.3;    21.3
22.02.2024 00:32:00;   -5.34;    18.3;    -4.0;    -5.1;  19.988;   999.3;    20.4
