         Datum/Zeit;Psychro T;Psychro Tf;Pyranometer CM3;Temperatur; Feuchte;   Regen;Wind (m/s);Druck (hPa);Windmax (m/s)
10.01.2024 00:00:00;  101.00;  100.00;   40.00;   -7.28;   0.734;       0;    0.61; 1027.90;    1.08
10.01.2024 00:01:00;  101.00;  100.00;   40.00;   -7.28;   0.734;       0;    0.84; 1027.87;    1.07
10.01.2024 00:02:00;  101.00;  100.00;   40.00;   -7.29;   0.734;       0;    1.30; 1027.85;    1.92
10.01.2024 00:03:00;  101.00;  100.00;   40.00;   -7.31;   0.734;       0;    1.66; 1027.82;    2.50
10.01.2024 00:04:00;   95.97;  100.00;   40.00;   -7.31;   0.735;       0;    1.14; 1027.80;    1.83
10.01.2024 00:05:00;  101.00;  100.00;   40.00;   -7.33;   0.735;       0;    1.62; 1027.75;    2.55
10.01.2024 00:06:00;  101.00;  100.00;   40.00;   -7.33;   0.736;       0;    1.80; 1027.73;    2.62
10.01.2024 00:07:00;  101.00;  100.00;   40.00;   -7.33;   0.738;       0;    1.42; 1027.70;    2.13
10.01.2024 00:08:00;  101.00;  100.00;   40.00;   -7.31;   0.739;       0;    1.84; 1027.68;    2.83
10.01.2024 00:09:00;   95.97;  100.00;   40.00;   -7.30;   0.740;       0;    2.20; 1027.66;    2.79
10.01.2024 00:10:00;  101.00;  100.00;   40.00;   -7.27;   0.742;       0;    1.55; 1027.65;    2.19
10.01.2024 00:11:00;  101.00;  100.00;   40.00;   -7.24;   0.742;       0;    1.19; 1027.67;    1.72
10.01.2024 00:12:00;  101.00;  100.00;   40.00;   -7.24;   0.741;       0;    0.91; 1027.70;    1.26
10.01.2024 00:13:00;  101.00;  100.00;   40.00;   -7.23;   0.741;       0;    0.87; 1027.72;    1.30
10.01.2024 00:14:00;  101.00;  100.00;   40.00;   -7.23;   0.741;       0;    0.50; 1027.73;    0.62
10.01.2024 00:15:00;  101.00;  100.00;   40.00;   -7.24;   0.740;       0;    0.72; 1027.71;    1.00
10.01.2024 00:16:00;  101.00;  100.00;   40.00;   -7.24;   0.740;       0;    1.29; 1027.72;    1.96
10.01.2024 00:17:00;   95.97;  100.00;   40.00;   -7.25;   0.739;       0;    1.37; 1027.72;    1.94
10.01.2024 00:18:00;  101.00;  100.00;   40.00;   -7.25;   0.739;       0;    1.45; 1027.70;    1.79
10.01.2024 00:19:00;   95.97;  100.00;   40.00;   -7.26;   0.739;       0;    1.17; 1027.68;    1.79
10.01.2024 00:20:00;  101.00;  100.00;   40.00;   -7.27;   0.739;       0;    1.20; 1027.65;    2.19
10.01.2024 00:21:00;  101.00;  100.00;   40.00;   -7.28;   0.739;       0;    0.89; 1027.62;    1.12
10.01.2024 00:22:00;  101.00;  100.00;   40.00;   -7.29;   0.740;       0;    1.18; 1027.63;    1.71
10.01.2024 00:23:00;  101.00;  100.00;   40.00;   -7.30;   0.740;       0;    1.16; 1027.63;    1.43
10.01.2024 00:24:00;  101.00;  100.00;   40.00;   -7.30;   0.741;       0;    1.35; 1027.64;    1.70
10.01.2024 00:25:00;  101.00;  100.00;   40.00;   -7.29;   0.742;       0;    1.43; 1027.63;    2.15
10.01.2024 00:26:00;  101.00;  100.00;   40.00;   -7.29;   0.743;       0;    2.28; 1027.64;    2.89
10.01.2024 00:27:00;  101.00;  100.00;   40.00;   -7.27;   0.744;       0;    2.37; 1027.64;    3.21
10.01.2024 00:28:00;  101.00;  100.00;   40.00;   -7.26;   0.744;       0;    2.40; 1027.62;    3.08
10.01.2024 00:29:00;  101.00;  100.00;   40.00;   -7.24;   0.745;       0;    1.17; 1027.59;    2.15
10.01.2024 00:30:00;   95.97;  100.00;   40.00;   -7.24;   0.744;       0;    1.24; 1027.57;    1.71
10.01.2024 00:31:00;  101.00;  100.00;   40.00;   -7.25;   0.743;       0;    0.99; 1027.56;    1.55
10.01.2024 00:32:00;  101.00;  100.00;   40.00;   -7.26;   0.743;       0;    1.18; 1027.57;    2.71
10.01.2024 00:33:00;   95.97;  100.00;   40.00;   -7.25;   0.744;       0;    1.81; 1027.57;    2.71
10.01.2024 00:34:00;  101.00;  100.00;   40.00;   -7.25;   0.744;       0;    1.04; 1027.55;    1.29
10.01.2024 00:35:00;  101.00;  100.00;   40.00;   -7.26;   0.744;       0;    0.65; 1027.53;    1.15
10.01.2024 00:36:00;  101.00;  100.00;   40.00;   -7.27;   0.744;       0;    1.40; 1027.53;    2.57
10.01.2024 00:37:00;  101.00;  100.00;   40.00;   -7.27;   0.744;       0;    1.77; 1027.53;    2.90
