         Datum/Zeit;Psychro T;Psychro Tf;Pyranometer CM3;Temperatur; Feuchte;   Regen;Wind (m/s);Druck (hPa);Windmax (m/s)
05.02.2024 00:00:00;  101.00;  -50.00;   40.00;   10.27;   0.931;       0;    5.22; 1006.67;    8.12
05.02.2024 00:01:00;  101.00;  -50.00;   40.00;   10.26;   0.931;       0;    5.94; 1006.65;    9.67
05.02.2024 00:02:00;  101.00;  -50.00;   40.00;   10.26;   0.931;       0;    6.65; 1006.66;    9.80
05.02.2024 00:03:00;  101.00;  -50.00;   40.00;   10.25;   0.931;       3;    6.09; 1006.70;    8.34
05.02.2024 00:04:00;  101.00;  -50.00;   40.00;   10.25;   0.932;       0;    8.46; 1006.63;   10.36
05.02.2024 00:05:00;   95.97;  -50.00;   40.00;   10.25;   0.932;       0;    7.22; 1006.65;   10.84
05.02.2024 00:06:00;   90.93;  -50.00;   40.00;   10.25;   0.932;       0;    6.51; 1006.65;   10.84
05.02.2024 00:07:00;  101.00;  -45.00;   40.00;   10.25;   0.932;       0;    7.84; 1006.63;    9.62
05.02.2024 00:08:00;  101.00;  -50.00;   40.00;   10.24;   0.932;       0;    6.29; 1006.64;    7.98
05.02.2024 00:09:00;   90.93;  -50.00;   40.00;   10.24;   0.932;       3;    5.60; 1006.66;   10.75
05.02.2024 00:10:00;  101.00;  -50.00;   40.00;   10.23;   0.932;       0;    4.23; 1006.70;    7.67
05.02.2024 00:11:00;  101.00;  -50.00;   40.00;   10.22;   0.932;       0;    7.15; 1006.72;    9.38
05.02.2024 00:12:00;  101.00;  -45.00;   40.00;   10.22;   0.932;       0;    6.94; 1006.72;    9.49
05.02.2024 00:13:00;  101.00;  -50.00;   40.00;   10.22;   0.932;       0;    7.12; 1006.69;    9.30
05.02.2024 00:14:00;  101.00;  -50.00;   40.00;   10.22;   0.933;       0;    7.35; 1006.75;   10.90
05.02.2024 00:15:00;  101.00;  -50.00;   40.00;   10.22;   0.933;       0;    6.60; 1006.72;    8.10
05.02.2024 00:16:00;  101.00;  -50.00;   40.00;   10.22;   0.933;       4;    7.83; 1006.76;   11.31
05.02.2024 00:17:00;   80.87;  -50.00;   40.00;   10.22;   0.933;       0;    9.01; 1006.75;   10.96
05.02.2024 00:18:00;  101.00;  -50.00;   40.00;   10.23;   0.933;       3;    7.65; 1006.70;    9.43
05.02.2024 00:19:00;   95.97;  -50.00;   40.00;   10.22;   0.933;       0;    5.06; 1006.66;    6.69
05.02.2024 00:20:00;  101.00;  -50.00;   40.00;   10.22;   0.933;       3;    4.26; 1006.65;    5.93
05.02.2024 00:21:00;  101.00;  -50.00;   40.00;   10.21;   0.933;       0;    7.96; 1006.67;   11.99
05.02.2024 00:22:00;  101.00;  -45.00;   40.00;   10.20;   0.933;       0;    7.25; 1006.65;   10.87
05.02.2024 00:23:00;  101.00;  -50.00;   40.00;   10.20;   0.933;       3;    6.22; 1006.65;   10.06
05.02.2024 00:24:00;  101.00;  -50.00;   40.00;   10.20;   0.933;       0;    5.39; 1006.66;    6.99
05.02.2024 00:25:00;  101.00;  -50.00;   40.00;   10.20;   0.933;       0;    3.66; 1006.62;    6.99
05.02.2024 00:26:00;   95.97;  -50.00;   40.00;   10.19;   0.933;       0;    7.76; 1006.67;    9.25
05.02.2024 00:27:00;  101.00;  -50.00;   40.00;   10.18;   0.934;       0;    7.80; 1006.67;   10.26
05.02.2024 00:28:00;  101.00;  -50.00;   40.00;   10.19;   0.934;       3;    8.68; 1006.67;   11.66
05.02.2024 00:29:00;   95.97;  -50.00;   40.00;   10.19;   0.934;       0;    6.11; 1006.66;    8.26
05.02.2024 00:30:00;  101.00;  -50.00;   40.00;   10.19;   0.934;       0;    4.51; 1006.68;    8.35
05.02.2024 00:31:00;  101.00;  -50.00;   40.00;   10.19;   0.934;       0;    5.94; 1006.72;    9.61
05.02.2024 00:32:00;  101.00;  -45.00;   40.00;   10.18;   0.934;       0;    7.23; 1006.67;    9.95
05.02.2024 00:33:00;   95.97;  -50.00;   40.00;   10.18;   0.934;       0;    7.31; 1006.65;   10.45
05.02.2024 00:34:00;  101.00;  -50.00;   40.00;   10.18;   0.934;       0;    6.52; 1006.67;   12.25
05.02.2024 00:35:00;   95.97;  -50.00;   40.00;   10.18;   0.934;       0;    4.95; 1006.67;    7.19
05.02.2024 00:36:00;   90.93;  -50.00;   40.00;   10.18;   0.934;       3;    6.09; 1006.67;    7.49
05.02.2024 00:37:00;  101.00;  -50.00;   40.00;   10.18;   0.934;       0;    7.98; 1006.69;   10.19
05.02.2024 00:38:00;  101.00;  -50.00;   40.00;   10.18;   0.934;       0;    5.07; 1006.68;    7.00
05.02.2024 00:39:00;  101.00;  -50.00;   40.00;   10.17;   0.934;       0;    6.72; 1006.68;   10.45
05.02.2024 00:40:00;  101.00;  -50.00;   40.00;   10.17;   0.934;       0;    5.64; 1006.67;    8.67
05.02.2024 00:41:00;   95.97;  -50.00;   40.00;   10.17;   0.935;       0;    7.61; 1006.68;    9.51
05.02.2024 00:42:00;   95.97;  -45.00;   40.00;   10.17;   0.935;       4;    4.61; 1006.65;    6.05
05.02.2024 00:43:00;  101.00;  -50.00;   40.00;   10.16;   0.935;       0;    5.86; 1006.66;    6.77
05.02.2024 00:44:00;  101.00;  -50.00;   40.00;   10.15;   0.935;       0;    6.16; 1006.64;    7.51
05.02.2024 00:45:00;  101.00;  -50.00;   40.00;   10.15;   0.935;       3;    5.92; 1006.68;   10.24
05.02.2024 00:46:00;  101.00;  -50.00;   40.00;   10.14;   0.935;       0;    6.81; 1006.66;    9.29
05.02.2024 00:47:00;  101.00;  -50.00;   40.00;   10.14;   0.935;       0;    5.44; 1006.63;    8.20
05.02.2024 00:48:00;  101.00;  -50.00;   40.00;   10.14;   0.935;       0;    6.58; 1006.60;    9.26
05.02.2024 00:49:00;  101.00;  -50.00;   40.00;   10.13;   0.935;       3;    5.47; 1006.60;    6.79
05.02.2024 00:50:00;   95.97;  -50.00;   40.00;   10.13;   0.936;       0;    7.53; 1006.67;    9.71
05.02.2024 00:51:00;  101.00;  -50.00;   40.00;   10.13;   0.936;       0;    6.02; 1006.64;    9.50
05.02.2024 00:52:00;   95.97;  -45.00;   40.00;   10.13;   0.936;       0;    6.20; 1006.63;    9.86
05.02.2024 00:53:00;  101.00;  -50.00;   40.00;   10.13;   0.936;       4;    6.10; 1006.59;    8.98
05.02.2024 00:54:00;  101.00;  -50.00;   40.00;   10.13;   0.936;       0;    3.54; 1006.60;    5.15
05.02.2024 00:55:00;  101.00;  -50.00;   40.00;   10.12;   0.936;       0;    5.75; 1006.63;    9.53
05.02.2024 00:56:00;  101.00;  -50.00;   40.00;   10.11;   0.936;       0;    7.05; 1006.64;    8.84
05.02.2024 00:57:00;   95.97;  -45.00;   40.00;   10.11;   0.936;       3;    7.27; 1006.69;   11.60
05.02.2024 00:58:00;  101.00;  -50.00;   40.00;   10.11;   0.936;       0;    7.12; 1006.64;   10.28
05.02.2024 00:59:00;  101.00;  -50.00;   40.00;   10.11;   0.937;       0;    6.88; 1006.63;    9.78
05.02.2024 01:00:00;  101.00;  -50.00;   40.00;   10.11;   0.936;       0;    6.53; 1006.66;    9.06
05.02.2024 01:01:00;   95.97;  -50.00;   40.00;   10.11;   0.936;       4;    7.94; 1006.67;    9.75
05.02.2024 01:02:00;  101.00;  -50.00;   40.00;   10.10;   0.936;       0;    7.27; 1006.65;    8.09
05.02.2024 01:03:00;   90.93;  -50.00;   40.00;   10.10;   0.937;       0;    4.73; 1006.67;    6.00
05.02.2024 01:04:00;   95.97;  -50.00;   40.00;   10.10;   0.937;       3;    6.49; 1006.68;    8.09
05.02.2024 01:05:00;   95.97;  -50.00;   40.00;   10.09;   0.937;       0;    5.91; 1006.68;    7.08
05.02.2024 01:06:00;  101.00;  -50.00;   40.00;   10.09;   0.937;       3;    6.62; 1006.69;    9.19
05.02.2024 01:07:00;  101.00;  -50.00;   40.00;   10.09;   0.937;       0;    8.12; 1006.68;   13.24
05.02.2024 01:08:00;  101.00;  -50.00;   40.00;   10.09;   0.938;       0;    8.76; 1006.72;   11.13
05.02.2024 01:09:00;  101.00;  -50.00;   40.00;   10.09;   0.938;       3;    6.37; 1006.72;    8.43
05.02.2024 01:10:00;  101.00;  -50.00;   40.00;   10.09;   0.937;       0;    4.94; 1006.72;    6.29
05.02.2024 01:11:00;   95.97;  -50.00;   40.00;   10.09;   0.937;       0;    3.92; 1006.70;    4.64
05.02.2024 01:12:00;  101.00;  -50.00;   40.00;   10.08;   0.937;       4;    4.75; 1006.71;    7.30
05.02.2024 01:13:00;   95.97;  -50.00;   40.00;   10.08;   0.938;       0;    7.24; 1006.66;    9.99
05.02.2024 01:14:00;  101.00;  -50.00;   40.00;   10.07;   0.938;       0;    6.33; 1006.68;    8.97
05.02.2024 01:15:00;  101.00;  -50.00;   40.00;   10.07;   0.938;       0;    8.27; 1006.71;   11.99
05.02.2024 01:16:00;  101.00;  -50.00;   40.00;   10.07;   0.938;       0;    6.74; 1006.72;   10.40
05.02.2024 01:17:00;  101.00;  -45.00;   40.00;   10.08;   0.938;       0;    7.53; 1006.75;    9.14
05.02.2024 01:18:00;  101.00;  -50.00;   40.00;   10.08;   0.938;       0;    5.97; 1006.78;    9.22
05.02.2024 01:19:00;   95.97;  -50.00;   40.00;   10.08;   0.938;       3;    6.51; 1006.80;    8.93
05.02.2024 01:20:00;   95.97;  -50.00;   40.00;   10.08;   0.938;       0;    5.19; 1006.79;    7.28
05.02.2024 01:21:00;  101.00;  -50.00;   40.00;   10.08;   0.938;       0;    6.04; 1006.82;    9.24
05.02.2024 01:22:00;   95.97;  -50.00;   40.00;   10.07;   0.938;       0;    5.78; 1006.79;    8.84
