         Datum/Zeit;Psychro T;Psychro Tf;Pyranometer CM3;Temperatur; Feuchte;   Regen;Wind (m/s);Druck (hPa);Windmax (m/s)
15.02.2024 00:00:00;  101.00;  -50.00;   40.00;   11.68;   0.941;       0;    3.07; 1010.42;    3.83
15.02.2024 00:01:00;   95.97;  -50.00;   40.00;   11.69;   0.941;       0;    3.47; 1010.41;    4.68
15.02.2024 00:02:00;  101.00;  -50.00;   40.00;   11.69;   0.941;       0;    3.68; 1010.39;    5.14
15.02.2024 00:03:00;  101.00;  -50.00;   40.00;   11.70;   0.940;       0;    3.37; 1010.38;    4.44
15.02.2024 00:04:00;  101.00;  -50.00;   40.00;   11.70;   0.940;       0;    2.65; 1010.36;    4.02
15.02.2024 00:05:00;  101.00;  -50.00;   40.00;   11.70;   0.939;       0;    1.25; 1010.36;    1.95
15.02.2024 00:06:00;  101.00;  -50.00;   40.00;   11.69;   0.938;       0;    2.45; 1010.37;    4.93
15.02.2024 00:07:00;   95.97;  -50.00;   40.00;   11.70;   0.938;       0;    3.35; 1010.38;    4.93
15.02.2024 00:08:00;  101.00;  -50.00;   40.00;   11.71;   0.938;       0;    2.07; 1010.38;    3.16
15.02.2024 00:09:00;  101.00;  -50.00;   40.00;   11.71;   0.938;       0;    1.91; 1010.38;    2.94
15.02.2024 00:10:00;   95.97;  -50.00;   40.00;   11.71;   0.937;       0;    2.41; 1010.39;    3.54
15.02.2024 00:11:00;   95.97;  -50.00;   40.00;   11.71;   0.937;       0;    1.49; 1010.40;    3.16
15.02.2024 00:12:00;  101.00;  -50.00;   40.00;   11.72;   0.937;       0;    1.41; 1010.41;    2.06
15.02.2024 00:13:00;  101.00;  -50.00;   40.00;   11.72;   0.937;       0;    1.36; 1010.41;    1.72
15.02.2024 00:14:00;  101.00;  -50.00;   40.00;   11.72;   0.936;       0;    1.80; 1010.40;    3.86
15.02.2024 00:15:00;  101.00;  -50.00;   40.00;   11.72;   0.936;       0;    2.58; 1010.40;    3.72
15.02.2024 00:16:00;  101.00;  -50.00;   40.00;   11.73;   0.936;       0;    2.17; 1010.40;    2.74
15.02.2024 00:17:00;   95.97;  -50.00;   40.00;   11.73;   0.935;       0;    1.54; 1010.39;    2.37
15.02.2024 00:18:00;  101.00;  -50.00;   40.00;   11.72;   0.935;       0;    1.73; 1010.41;    2.37
