         Datum/Zeit;Psychro T;Psychro Tf;Pyranometer CM3;Temperatur; Feuchte;   Regen;Wind (m/s);Druck (hPa);Windmax (m/s)
14.02.2024 00:00:00;  101.00;  -50.00;   40.00;    6.93;   0.721;       0;    2.74; 1010.69;    3.63
14.02.2024 00:01:00;  101.00;  -50.00;   40.00;    6.93;   0.721;       0;    1.65; 1010.68;    2.44
14.02.2024 00:02:00;  101.00;  -50.00;   40.00;    6.93;   0.721;       0;    2.46; 1010.69;    3.95
14.02.2024 00:03:00;  101.00;  -50.00;   40.00;    6.93;   0.722;       0;    2.23; 1010.66;    2.69
14.02.2024 00:04:00;  101.00;  -50.00;   40.00;    6.93;   0.722;       0;    2.19; 1010.65;    2.70
14.02.2024 00:05:00;  101.00;  -50.00;   40.00;    6.93;   0.723;       0;    2.02; 1010.63;    2.45
14.02.2024 00:06:00;  101.00;  -50.00;   40.00;    6.92;   0.723;       0;    1.93; 1010.62;    2.49
14.02.2024 00:07:00;  101.00;  -50.00;   40.00;    6.91;   0.723;       0;    2.29; 1010.61;    3.60
14.02.2024 00:08:00;  101.00;  -50.00;   40.00;    6.91;   0.724;       0;    2.81; 1010.60;    4.13
14.02.2024 00:09:00;  101.00;  -50.00;   40.00;    6.91;   0.724;       0;    2.80; 1010.60;    4.45
14.02.2024 00:10:00;  101.00;  -50.00;   40.00;    6.91;   0.725;       0;    2.73; 1010.58;    3.94
14.02.2024 00:11:00;  101.00;  -50.00;   40.00;    6.90;   0.725;       0;    2.14; 1010.57;    2.42
14.02.2024 00:12:00;  101.00;  -50.00;   40.00;    6.90;   0.725;       0;    2.43; 1010.56;    3.45
14.02.2024 00:13:00;  101.00;  -50.00;   40.00;    6.89;   0.726;       0;    1.88; 1010.56;    2.10
14.02.2024 00:14:00;  101.00;  -50.00;   40.00;    6.89;   0.726;       0;    2.39; 1010.57;    3.18
14.02.2024 00:15:00;  101.00;  -50.00;   40.00;    6.88;   0.727;       0;    2.00; 1010.56;    2.37
14.02.2024 00:16:00;  101.00;  -50.00;   40.00;    6.87;   0.727;       0;    1.73; 1010.55;    2.33
14.02.2024 00:17:00;  101.00;  -50.00;   40.00;    6.86;   0.728;       0;    1.98; 1010.54;    2.31
14.02.2024 00:18:00;  101.00;  -50.00;   40.00;    6.87;   0.729;       0;    1.87; 1010.50;    2.46
14.02.2024 00:19:00;  101.00;  -50.00;   40.00;    6.88;   0.730;       0;    1.98; 1010.50;    2.49
14.02.2024 00:20:00;  101.00;  -50.00;   40.00;    6.88;   0.729;       0;    2.38; 1010.50;    3.08
14.02.2024 00:21:00;  101.00;  -50.00;   40.00;    6.88;   0.730;       0;    2.38; 1010.48;    2.67
14.02.2024 00:22:00;  101.00;  -50.00;   40.00;    6.88;   0.730;       0;    1.98; 1010.45;    2.48
14.02.2024 00:23:00;  101.00;  -50.00;   40.00;    6.88;   0.731;       0;    1.90; 1010.43;    2.58
14.02.2024 00:24:00;   95.97;  -50.00;   40.00;    6.88;   0.731;       0;    1.72; 1010.42;    2.84
14.02.2024 00:25:00;   95.97;  -50.00;   40.00;    6.88;   0.732;       0;    2.82; 1010.42;    3.87
14.02.2024 00:26:00;  101.00;  -50.00;   40.00;    6.89;   0.733;       0;    2.66; 1010.41;    3.58
14.02.2024 00:27:00;  101.00;  -50.00;   40.00;    6.90;   0.733;       0;    1.80; 1010.40;    2.43
14.02.2024 00:28:00;  101.00;  -50.00;   40.00;    6.90;   0.733;       0;    1.72; 1010.39;    2.74
14.02.2024 00:29:00;  101.00;  -50.00;   40.00;    6.90;   0.734;       0;    2.11; 1010.39;    2.74
14.02.2024 00:30:00;   95.97;  -50.00;   40.00;    6.91;   0.734;       0;    1.78; 1010.39;    2.33
14.02.2024 00:31:00;  101.00;  -50.00;   40.00;    6.91;   0.734;       0;    2.40; 1010.39;    2.86
14.02.2024 00:32:00;  101.00;  -50.00;   40.00;    6.91;   0.735;       0;    1.70; 1010.38;    2.75
14.02.2024 00:33:00;  101.00;  -50.00;   40.00;    6.92;   0.735;       0;    1.89; 1010.37;    3.19
14.02.2024 00:34:00;   95.97;  -50.00;   40.00;    6.92;   0.735;       0;    2.29; 1010.38;    2.58
14.02.2024 00:35:00;   95.97;  -50.00;   40.00;    6.91;   0.735;       0;    1.51; 1010.36;    2.38
14.02.2024 00:36:00;  101.00;  -50.00;   40.00;    6.91;   0.735;       0;    1.64; 1010.34;    2.36
14.02.2024 00:37:00;   95.97;  -50.00;   40.00;    6.90;   0.736;       0;    1.73; 1010.34;    2.48
14.02.2024 00:38:00;  101.00;  -50.00;   40.00;    6.90;   0.736;       0;    1.45; 1010.31;    2.09
14.02.2024 00:39:00;  101.00;  -50.00;   40.00;    6.89;   0.736;       0;    1.79; 1010.29;    2.48
14.02.2024 00:40:00;   95.97;  -50.00;   40.00;    6.88;   0.736;       0;    1.74; 1010.27;    2.11
14.02.2024 00:41:00;   95.97;  -50.00;   40.00;    6.87;   0.736;       0;    1.84; 1010.26;    2.15
14.02.2024 00:42:00;  101.00;  -50.00;   40.00;    6.86;   0.737;       0;    1.21; 1010.23;    1.87
14.02.2024 00:43:00;  101.00;  -50.00;   40.00;    6.84;   0.736;       0;    0.98; 1010.21;    1.45
14.02.2024 00:44:00;  101.00;  -50.00;   40.00;    6.81;   0.736;       0;    1.35; 1010.19;    1.64
14.02.2024 00:45:00;  101.00;  -50.00;   40.00;    6.78;   0.737;       0;    1.27; 1010.18;    1.60
14.02.2024 00:46:00;  101.00;  -50.00;   40.00;    6.76;   0.738;       0;    1.10; 1010.19;    1.40
14.02.2024 00:47:00;  101.00;  -50.00;   40.00;    6.74;   0.740;       0;    1.21; 1010.19;    1.48
14.02.2024 00:48:00;  101.00;  -50.00;   40.00;    6.73;   0.740;       0;    1.02; 1010.18;    1.21
14.02.2024 00:49:00;  101.00;  -50.00;   40.00;    6.71;   0.741;       0;    1.27; 1010.17;    1.86
14.02.2024 00:50:00;   95.97;  -50.00;   40.00;    6.69;   0.742;       0;    1.00; 1010.17;    1.46
14.02.2024 00:51:00;  101.00;  -50.00;   40.00;    6.67;   0.743;       0;    1.10; 1010.18;    1.43
14.02.2024 00:52:00;  101.00;  -50.00;   40.00;    6.67;   0.744;       0;    1.43; 1010.17;    1.77
14.02.2024 00:53:00;   95.97;  -50.00;   40.00;    6.65;   0.744;       0;    1.33; 1010.17;    1.63
14.02.2024 00:54:00;  101.00;  -50.00;   40.00;    6.64;   0.745;       0;    1.64; 1010.16;    1.95
14.02.2024 00:55:00;  101.00;  -50.00;   40.00;    6.63;   0.745;       0;    1.35; 1010.14;    1.55
14.02.2024 00:56:00;  101.00;  -50.00;   40.00;    6.62;   0.746;       0;    1.32; 1010.14;    1.46
14.02.2024 00:57:00;  101.00;  -50.00;   40.00;    6.61;   0.747;       0;    1.25; 1010.11;    1.63
14.02.2024 00:58:00;  101.00;  -50.00;   40.00;    6.60;   0.747;       0;    1.67; 1010.09;    1.92
14.02.2024 00:59:00;   95.97;  -50.00;   40.00;    6.60;   0.747;       0;    1.72; 1010.09;    2.12
14.02.2024 01:00:00;  101.00;  -50.00;   40.00;    6.59;   0.748;       0;    1.29; 1010.08;    1.53
14.02.2024 01:01:00;  101.00;  -50.00;   40.00;    6.58;   0.748;       0;    1.13; 1010.05;    1.27
14.02.2024 01:02:00;  101.00;  -50.00;   40.00;    6.57;   0.749;       0;    1.67; 1010.04;    2.35
14.02.2024 01:03:00;  101.00;  -50.00;   40.00;    6.57;   0.750;       0;    1.84; 1010.01;    2.35
14.02.2024 01:04:00;  101.00;  -50.00;   40.00;    6.57;   0.751;       0;    1.40; 1010.00;    1.68
14.02.2024 01:05:00;  101.00;  -50.00;   40.00;    6.57;   0.751;       0;    1.78; 1009.99;    2.18
14.02.2024 01:06:00;  101.00;  -50.00;   40.00;    6.57;   0.752;       0;    1.81; 1009.97;    2.18
14.02.2024 01:07:00;  101.00;  -50.00;   40.00;    6.58;   0.752;       0;    1.66; 1009.97;    2.29
14.02.2024 01:08:00;   95.97;  -50.00;   40.00;    6.58;   0.752;       0;    1.85; 1009.95;    2.35
14.02.2024 01:09:00;  101.00;  -50.00;   40.00;    6.58;   0.753;       0;    1.75; 1009.92;    2.11
14.02.2024 01:10:00;  101.00;  -50.00;   40.00;    6.58;   0.753;       0;    1.99; 1009.90;    2.45
14.02.2024 01:11:00;  101.00;  -50.00;   40.00;    6.59;   0.754;       0;    1.84; 1009.90;    2.24
14.02.2024 01:12:00;  101.00;  -50.00;   40.00;    6.60;   0.754;       0;    1.58; 1009.89;    2.37
14.02.2024 01:13:00;  101.00;  -50.00;   40.00;    6.61;   0.754;       0;    1.43; 1009.88;    1.96
14.02.2024 01:14:00;  101.00;  -50.00;   40.00;    6.62;   0.754;       0;    1.91; 1009.88;    2.70
14.02.2024 01:15:00;  101.00;  -50.00;   40.00;    6.63;   0.754;       0;    2.05; 1009.87;    2.24
14.02.2024 01:16:00;   95.97;  -50.00;   40.00;    6.64;   0.754;       0;    2.07; 1009.87;    2.48
14.02.2024 01:17:00;  101.00;  -50.00;   40.00;    6.65;   0.754;       0;    1.53; 1009.88;    1.94
14.02.2024 01:18:00;  101.00;  -50.00;   40.00;    6.66;   0.754;       0;    2.04; 1009.88;    3.17
14.02.2024 01:19:00;  101.00;  -50.00;   40.00;    6.68;   0.754;       0;    1.60; 1009.84;    2.95
14.02.2024 01:20:00;  101.00;  -50.00;   40.00;    6.70;   0.754;       0;    2.08; 1009.83;    2.68
14.02.2024 01:21:00;  101.00;  -50.00;   40.00;    6.71;   0.753;       0;    2.13; 1009.82;    2.66
14.02.2024 01:22:00;  101.00;  -50.00;   40.00;    6.73;   0.753;       0;    1.96; 1009.82;    2.52
14.02.2024 01:23:00;  101.00;  -50.00;   40.00;    6.74;   0.752;       0;    1.84; 1009.80;    2.25
14.02.2024 01:24:00;  101.00;  -50.00;   40.00;    6.75;   0.752;       0;    2.14; 1009.82;    3.39
14.02.2024 01:25:00;   95.97;  -50.00;   40.00;    6.77;   0.752;       0;    1.81; 1009.81;    2.35
14.02.2024 01:26:00;  101.00;  -50.00;   40.00;    6.79;   0.751;       0;    2.09; 1009.80;    2.73
14.02.2024 01:27:00;  101.00;  -50.00;   40.00;    6.80;   0.751;       0;    2.28; 1009.79;    3.55
14.02.2024 01:28:00;  101.00;  -50.00;   40.00;    6.82;   0.750;       0;    2.03; 1009.77;    2.74
14.02.2024 01:29:00;  101.00;  -50.00;   40.00;    6.84;   0.749;       0;    1.75; 1009.76;    2.56
14.02.2024 01:30:00;  101.00;  -50.00;   40.00;    6.85;   0.748;       0;    1.97; 1009.74;    2.62
14.02.2024 01:31:00;  101.00;  -50.00;   40.00;    6.86;   0.747;       0;    2.08; 1009.74;    2.78
14.02.2024 01:32:00;  101.00;  -50.00;   40.00;    6.87;   0.746;       0;    2.56; 1009.75;    3.51
14.02.2024 01:33:00;  101.00;  -50.00;   40.00;    6.88;   0.746;       0;    2.09; 1009.76;    2.75
14.02.2024 01:34:00;  101.00;  -50.00;   40.00;    6.89;   0.745;       0;    1.57; 1009.74;    2.83
14.02.2024 01:35:00;  101.00;  -50.00;   40.00;    6.89;   0.745;       0;    2.25; 1009.73;    3.12
14.02.2024 01:36:00;   95.97;  -50.00;   40.00;    6.90;   0.745;       0;    2.18; 1009.72;    2.74
14.02.2024 01:37:00;  101.00;  -50.00;   40.00;    6.90;   0.744;       0;    2.19; 1009.68;    2.84
14.02.2024 01:38:00;  101.00;  -50.00;   40.00;    6.90;   0.744;       0;    2.25; 1009.67;    2.82
14.02.2024 01:39:00;   95.97;  -50.00;   40.00;    6.91;   0.744;       0;    2.39; 1009.66;    3.87
14.02.2024 01:40:00;  101.00;  -50.00;   40.00;    6.92;   0.743;       0;    2.16; 1009.64;    2.91
14.02.2024 01:41:00;   95.97;  -50.00;   40.00;    6.93;   0.743;       0;    1.71; 1009.64;    2.23
14.02.2024 01:42:00;  101.00;  -50.00;   40.00;    6.93;   0.743;       0;    2.02; 1009.65;    2.79
14.02.2024 01:43:00;   90.93;  -50.00;   40.00;    6.94;   0.742;       0;    2.13; 1009.64;    2.99
14.02.2024 01:44:00;  101.00;  -50.00;   40.00;    6.94;   0.742;       0;    2.82; 1009.61;    3.47
14.02.2024 01:45:00;  101.00;  -50.00;   40.00;    6.96;   0.741;       0;    2.22; 1009.61;    3.20
