         Datum/Zeit;Psychro T;Psychro Tf;Pyranometer CM3;Temperatur; Feuchte;   Regen;Wind (m/s);Druck (hPa);Windmax (m/s)
21.01.2024 00:00:00;  101.00;  100.00;   40.00;   -0.21;   0.574;       0;    3.35; 1020.92;    4.09
21.01.2024 00:01:00;  101.00;  100.00;   40.00;   -0.21;   0.575;       0;    3.37; 1020.93;    4.27
21.01.2024 00:02:00;  101.00;  100.00;   40.00;   -0.22;   0.575;       0;    3.36; 1020.93;    4.27
21.01.2024 00:03:00;   95.97;  100.00;   40.00;   -0.23;   0.575;       0;    2.49; 1020.92;    3.04
21.01.2024 00:04:00;   90.93;  100.00;   40.00;   -0.25;   0.575;       0;    3.17; 1020.91;    3.60
21.01.2024 00:05:00;  101.00;  100.00;   40.00;   -0.26;   0.576;       0;    2.95; 1020.91;    4.60
21.01.2024 00:06:00;  101.00;  100.00;   40.00;   -0.26;   0.576;       0;    2.88; 1020.92;    3.59
21.01.2024 00:07:00;  101.00;  100.00;   40.00;   -0.27;   0.576;       0;    2.68; 1020.92;    3.66
21.01.2024 00:08:00;  101.00;  100.00;   40.00;   -0.29;   0.577;       0;    3.45; 1020.92;    4.42
21.01.2024 00:09:00;   95.97;  100.00;   40.00;   -0.30;   0.578;       0;    3.34; 1020.89;    3.76
21.01.2024 00:10:00;   95.97;  100.00;   40.00;   -0.30;   0.579;       0;    2.59; 1020.87;    3.60
21.01.2024 00:11:00;  101.00;  100.00;   40.00;   -0.31;   0.580;       0;    3.87; 1020.85;    4.77
21.01.2024 00:12:00;   95.97;  100.00;   40.00;   -0.32;   0.581;       0;    3.04; 1020.84;    4.03
21.01.2024 00:13:00;  101.00;  100.00;   40.00;   -0.32;   0.581;       0;    3.47; 1020.84;    4.21
21.01.2024 00:14:00;  101.00;  100.00;   40.00;   -0.32;   0.581;       0;    3.03; 1020.84;    4.06
21.01.2024 00:15:00;  101.00;  100.00;   40.00;   -0.32;   0.582;       0;    2.14; 1020.83;    3.03
21.01.2024 00:16:00;  101.00;  100.00;   40.00;   -0.33;   0.582;       0;    2.41; 1020.81;    3.11
21.01.2024 00:17:00;  101.00;  100.00;   40.00;   -0.33;   0.582;       0;    2.38; 1020.77;    3.13
21.01.2024 00:18:00;  101.00;  100.00;   40.00;   -0.32;   0.582;       0;    2.44; 1020.76;    2.93
21.01.2024 00:19:00;  101.00;  100.00;   40.00;   -0.31;   0.580;       0;    2.92; 1020.75;    3.96
21.01.2024 00:20:00;   95.97;  100.00;   40.00;   -0.29;   0.579;       0;    2.99; 1020.71;    4.36
