         Datum/Zeit;Psychro T;Psychro Tf;Pyranometer CM3;Temperatur; Feuchte;   Regen;Wind (m/s);Druck (hPa);Windmax (m/s)
31.01.2024 00:00:00;  101.00;  -50.00;   40.00;    7.31;   0.835;       0;    3.92; 1024.73;    5.73
31.01.2024 00:01:00;  101.00;  -50.00;   40.00;    7.30;   0.832;       0;    6.35; 1024.70;    8.29
31.01.2024 00:02:00;  101.00;  -50.00;   40.00;    7.29;   0.830;       0;    6.27; 1024.72;    8.02
31.01.2024 00:03:00;  101.00;  -50.00;   40.00;    7.30;   0.827;       0;    5.03; 1024.73;    7.70
31.01.2024 00:04:00;  101.00;  -50.00;   40.00;    7.30;   0.824;       0;    5.80; 1024.77;    7.60
31.01.2024 00:05:00;   95.97;  -50.00;   40.00;    7.30;   0.821;       0;    5.96; 1024.78;    7.79
31.01.2024 00:06:00;  101.00;  -50.00;   40.00;    7.28;   0.818;       0;    4.56; 1024.80;    7.30
31.01.2024 00:07:00;  101.00;  -45.00;   40.00;    7.25;   0.817;       0;    4.44; 1024.81;    6.61
31.01.2024 00:08:00;  101.00;  -50.00;   40.00;    7.22;   0.816;       0;    3.49; 1024.83;    6.45
31.01.2024 00:09:00;  101.00;  -50.00;   40.00;    7.17;   0.816;       0;    5.14; 1024.83;    6.45
31.01.2024 00:10:00;  101.00;  -50.00;   40.00;    7.12;   0.817;       0;    3.39; 1024.87;    4.55
31.01.2024 00:11:00;  101.00;  -50.00;   40.00;    7.08;   0.819;       0;    4.79; 1024.91;    6.52
31.01.2024 00:12:00;  101.00;  -50.00;   40.00;    7.04;   0.821;       0;    3.26; 1024.94;    4.54
31.01.2024 00:13:00;  101.00;  -50.00;   40.00;    7.01;   0.824;       0;    3.60; 1024.95;    5.52
31.01.2024 00:14:00;   95.97;  -50.00;   40.00;    6.98;   0.826;       0;    2.60; 1024.96;    5.14
31.01.2024 00:15:00;  101.00;  -50.00;   40.00;    6.96;   0.828;       0;    3.33; 1024.96;    4.77
31.01.2024 00:16:00;  101.00;  -50.00;   40.00;    6.94;   0.830;       0;    2.72; 1024.94;    4.29
31.01.2024 00:17:00;  101.00;  -45.00;   40.00;    6.91;   0.832;       0;    3.20; 1024.96;    4.93
31.01.2024 00:18:00;  101.00;  -50.00;   40.00;    6.89;   0.834;       0;    3.59; 1024.95;    5.15
31.01.2024 00:19:00;  101.00;  -50.00;   40.00;    6.88;   0.836;       0;    3.25; 1024.94;    5.15
31.01.2024 00:20:00;  101.00;  -50.00;   40.00;    6.87;   0.838;       0;    3.08; 1024.96;    4.82
31.01.2024 00:21:00;  101.00;  -50.00;   40.00;    6.86;   0.839;       0;    3.42; 1024.96;    4.10
31.01.2024 00:22:00;   95.97;  -50.00;   40.00;    6.85;   0.840;       0;    2.78; 1024.97;    3.63
31.01.2024 00:23:00;  101.00;  -50.00;   40.00;    6.85;   0.842;       0;    2.65; 1024.96;    3.81
31.01.2024 00:24:00;  101.00;  -50.00;   40.00;    6.86;   0.843;       0;    3.10; 1024.98;    3.73
31.01.2024 00:25:00;  101.00;  -50.00;   40.00;    6.86;   0.844;       0;    2.47; 1024.98;    3.29
31.01.2024 00:26:00;  101.00;  -50.00;   40.00;    6.88;   0.845;       0;    1.76; 1024.98;    2.75
31.01.2024 00:27:00;   95.97;  -45.00;   40.00;    6.88;   0.845;       0;    1.82; 1024.99;    2.91
31.01.2024 00:28:00;   95.97;  -50.00;   40.00;    6.89;   0.845;       0;    2.26; 1025.00;    4.27
31.01.2024 00:29:00;  101.00;  -50.00;   40.00;    6.89;   0.846;       0;    3.49; 1025.02;    6.55
31.01.2024 00:30:00;  101.00;  -50.00;   40.00;    6.89;   0.846;       0;    2.95; 1025.02;    5.12
31.01.2024 00:31:00;   95.97;  -50.00;   40.00;    6.87;   0.846;       0;    4.36; 1025.01;    5.26
31.01.2024 00:32:00;  101.00;  -50.00;   40.00;    6.84;   0.846;       0;    3.79; 1025.05;    4.81
31.01.2024 00:33:00;  101.00;  -50.00;   40.00;    6.82;   0.847;       0;    2.92; 1025.04;    5.03
31.01.2024 00:34:00;  101.00;  -50.00;   40.00;    6.80;   0.848;       0;    3.61; 1025.03;    4.59
31.01.2024 00:35:00;  101.00;  -50.00;   40.00;    6.78;   0.850;       0;    4.11; 1025.03;    6.24
31.01.2024 00:36:00;  101.00;  -50.00;   40.00;    6.76;   0.851;       0;    4.77; 1025.04;    6.93
31.01.2024 00:37:00;  101.00;  -45.00;   40.00;    6.73;   0.852;       0;    3.54; 1025.03;    5.63
31.01.2024 00:38:00;   95.97;  -50.00;   40.00;    6.71;   0.853;       0;    2.81; 1025.04;    4.47
31.01.2024 00:39:00;  101.00;  -50.00;   40.00;    6.70;   0.855;       0;    3.05; 1025.04;    3.92
31.01.2024 00:40:00;  101.00;  -50.00;   40.00;    6.69;   0.856;       0;    3.14; 1025.01;    3.81
31.01.2024 00:41:00;   95.97;  -50.00;   40.00;    6.67;   0.857;       0;    2.91; 1025.00;    4.59
31.01.2024 00:42:00;  101.00;  -50.00;   40.00;    6.66;   0.858;       0;    3.54; 1024.97;    5.17
31.01.2024 00:43:00;   95.97;  -50.00;   40.00;    6.65;   0.859;       0;    3.32; 1024.95;    4.50
31.01.2024 00:44:00;  101.00;  -50.00;   40.00;    6.65;   0.860;       0;    2.68; 1024.94;    4.44
31.01.2024 00:45:00;  101.00;  -50.00;   40.00;    6.64;   0.861;       0;    2.84; 1024.94;    3.84
31.01.2024 00:46:00;   90.93;  -50.00;   40.00;    6.62;   0.861;       0;    2.24; 1024.94;    3.19
31.01.2024 00:47:00;  101.00;  -45.00;   40.00;    6.62;   0.862;       0;    4.67; 1024.95;    6.52
31.01.2024 00:48:00;  101.00;  -50.00;   40.00;    6.60;   0.863;       0;    3.30; 1024.93;    4.20
31.01.2024 00:49:00;  101.00;  -50.00;   40.00;    6.60;   0.864;       0;    2.68; 1024.94;    3.54
31.01.2024 00:50:00;  101.00;  -50.00;   40.00;    6.59;   0.864;       0;    2.96; 1024.95;    4.64
31.01.2024 00:51:00;  101.00;  -50.00;   40.00;    6.58;   0.865;       0;    2.57; 1024.94;    3.63
31.01.2024 00:52:00;  101.00;  -50.00;   40.00;    6.58;   0.866;       0;    2.02; 1024.97;    2.70
31.01.2024 00:53:00;  101.00;  -50.00;   40.00;    6.57;   0.867;       0;    2.40; 1024.98;    3.31
31.01.2024 00:54:00;  101.00;  -50.00;   40.00;    6.56;   0.867;       0;    2.31; 1024.98;    3.23
31.01.2024 00:55:00;  101.00;  -50.00;   40.00;    6.55;   0.867;       0;    2.30; 1024.98;    3.49
31.01.2024 00:56:00;  101.00;  -50.00;   40.00;    6.54;   0.868;       0;    2.91; 1024.98;    3.92
31.01.2024 00:57:00;  101.00;  -45.00;   40.00;    6.53;   0.868;       0;    2.72; 1025.00;    3.55
31.01.2024 00:58:00;   95.97;  -50.00;   40.00;    6.53;   0.869;       0;    3.36; 1025.01;    4.36
31.01.2024 00:59:00;   95.97;  -50.00;   40.00;    6.52;   0.869;       0;    2.04; 1025.02;    3.93
31.01.2024 01:00:00;  101.00;  -50.00;   40.00;    6.53;   0.870;       0;    2.64; 1025.02;    4.29
31.01.2024 01:01:00;  101.00;  -50.00;   40.00;    6.52;   0.869;       0;    2.64; 1025.04;    3.70
31.01.2024 01:02:00;  101.00;  -45.00;   40.00;    6.52;   0.870;       0;    3.36; 1025.04;    5.06
31.01.2024 01:03:00;  101.00;  -50.00;   40.00;    6.52;   0.870;       0;    3.08; 1025.03;    5.02
31.01.2024 01:04:00;  101.00;  -50.00;   40.00;    6.52;   0.870;       0;    3.00; 1025.02;    4.17
31.01.2024 01:05:00;  101.00;  -50.00;   40.00;    6.52;   0.870;       0;    3.20; 1024.99;    4.63
31.01.2024 01:06:00;  101.00;  -50.00;   40.00;    6.53;   0.871;       0;    2.34; 1024.96;    3.25
31.01.2024 01:07:00;  101.00;  -50.00;   40.00;    6.54;   0.870;       0;    2.46; 1024.96;    3.45
31.01.2024 01:08:00;  101.00;  -50.00;   40.00;    6.55;   0.871;       0;    2.03; 1024.93;    2.90
31.01.2024 01:09:00;  101.00;  -50.00;   40.00;    6.56;   0.871;       0;    2.93; 1024.94;    3.53
31.01.2024 01:10:00;  101.00;  -50.00;   40.00;    6.56;   0.869;       0;    4.23; 1024.95;    5.15
31.01.2024 01:11:00;  101.00;  -50.00;   40.00;    6.55;   0.868;       0;    3.12; 1024.96;    3.67
31.01.2024 01:12:00;   95.97;  -45.00;   40.00;    6.54;   0.868;       0;    2.88; 1024.96;    3.58
31.01.2024 01:13:00;   95.97;  -50.00;   40.00;    6.54;   0.867;       0;    2.46; 1024.97;    4.21
31.01.2024 01:14:00;  101.00;  -50.00;   40.00;    6.53;   0.867;       0;    4.17; 1024.97;    5.04
31.01.2024 01:15:00;  101.00;  -50.00;   40.00;    6.53;   0.867;       0;    3.85; 1024.98;    4.74
31.01.2024 01:16:00;  101.00;  -50.00;   40.00;    6.53;   0.866;       0;    3.22; 1024.96;    6.00
31.01.2024 01:17:00;  101.00;  -50.00;   40.00;    6.53;   0.865;       0;    3.61; 1024.96;    5.76
31.01.2024 01:18:00;  101.00;  -50.00;   40.00;    6.53;   0.865;       0;    2.72; 1024.97;    4.16
31.01.2024 01:19:00;  101.00;  -50.00;   40.00;    6.53;   0.864;       0;    3.20; 1024.97;    4.35
31.01.2024 01:20:00;  101.00;  -50.00;   40.00;    6.53;   0.864;       0;    3.11; 1024.98;    4.28
31.01.2024 01:21:00;  101.00;  -50.00;   40.00;    6.53;   0.863;       0;    3.00; 1024.99;    4.24
31.01.2024 01:22:00;  101.00;  -45.00;   40.00;    6.53;   0.863;       0;    4.29; 1025.00;    6.02
31.01.2024 01:23:00;  101.00;  -50.00;   40.00;    6.52;   0.862;       0;    4.32; 1024.99;    6.12
31.01.2024 01:24:00;  101.00;  -50.00;   40.00;    6.52;   0.862;       0;    3.82; 1025.01;    5.54
31.01.2024 01:25:00;  101.00;  -50.00;   40.00;    6.51;   0.862;       0;    4.29; 1025.01;    5.74
31.01.2024 01:26:00;  101.00;  -50.00;   40.00;    6.51;   0.861;       0;    4.74; 1025.05;    5.76
31.01.2024 01:27:00;  101.00;  -50.00;   40.00;    6.50;   0.861;       0;    4.49; 1025.05;    6.32
31.01.2024 01:28:00;  101.00;  -50.00;   40.00;    6.49;   0.861;       0;    4.02; 1025.05;    5.25
31.01.2024 01:29:00;  101.00;  -50.00;   40.00;    6.49;   0.860;       0;    3.63; 1025.04;    4.30
31.01.2024 01:30:00;  101.00;  -50.00;   40.00;    6.49;   0.862;       0;    3.31; 1025.06;    4.61
31.01.2024 01:31:00;  101.00;  -50.00;   40.00;    6.48;   0.861;       0;    4.14; 1025.06;    6.05
31.01.2024 01:32:00;  101.00;  -45.00;   40.00;    6.46;   0.861;       0;    4.70; 1025.06;    5.95
31.01.2024 01:33:00;  101.00;  -50.00;   40.00;    6.44;   0.861;       0;    2.79; 1025.06;    4.42
31.01.2024 01:34:00;   80.87;   29.91;   40.00;    6.44;   0.862;       0;    3.43; 1025.05;    4.39
31.01.2024 01:35:00;  101.00;  -23.01;   40.00;    6.44;   0.863;       0;    2.90; 1025.06;    4.49
31.01.2024 01:36:00;   95.97;  -50.00;   40.00;    6.43;   0.862;       0;    2.89; 1025.07;    4.63
31.01.2024 01:37:00;  101.00;  -50.00;   40.00;    6.43;   0.863;       0;    4.00; 1025.07;    5.50
31.01.2024 01:38:00;  101.00;  -37.42;   40.00;    6.41;   0.863;       0;    4.02; 1025.12;    6.77
31.01.2024 01:39:00;  101.00;  -45.00;   40.00;    6.40;   0.864;       0;    3.82; 1025.16;    5.47
31.01.2024 01:40:00;  101.00;  -45.00;   40.00;    6.39;   0.864;       0;    5.21; 1025.19;    7.15
31.01.2024 01:41:00;  101.00;  -45.04;   40.00;    6.38;   0.864;       0;    2.93; 1025.23;    3.57
31.01.2024 01:42:00;  101.00;    1.44;   40.00;    6.37;   0.864;       0;    4.16; 1025.24;    5.62
31.01.2024 01:43:00;  101.00;   90.71;   40.00;    6.36;   0.865;       0;    3.02; 1025.24;    4.20
31.01.2024 01:44:00;  101.00;   94.25;   40.00;    6.35;   0.866;       0;    4.18; 1025.27;    5.94
31.01.2024 01:45:00;  101.00;   99.91;   40.00;    6.34;   0.866;       0;    3.79; 1025.29;    5.42
31.01.2024 01:46:00;   95.97;   86.90;   40.00;    6.33;   0.866;       0;    2.61; 1025.29;    3.78
31.01.2024 01:47:00;  101.00;  100.00;   40.00;    6.32;   0.867;       0;    1.87; 1025.29;    2.53
31.01.2024 01:48:00;  101.00;  100.00;   40.00;    6.32;   0.868;       0;    3.00; 1025.32;    3.77
31.01.2024 01:49:00;  101.00;  100.00;   40.00;    6.32;   0.868;       0;    2.60; 1025.33;    3.21
31.01.2024 01:50:00;  101.00;  100.00;   40.00;    6.32;   0.868;       0;    3.12; 1025.35;    4.39
31.01.2024 01:51:00;  101.00;  100.00;   40.00;    6.30;   0.867;       0;    4.10; 1025.35;    5.26
31.01.2024 01:52:00;  101.00;  100.00;   40.00;    6.27;   0.867;       0;    5.01; 1025.37;    6.50
31.01.2024 01:53:00;  101.00;  100.00;   40.00;    6.23;   0.866;       0;    4.23; 1025.37;    6.07
31.01.2024 01:54:00;  101.00;  100.00;   40.00;    6.20;   0.866;       0;    3.47; 1025.38;    4.52
31.01.2024 01:55:00;  101.00;  100.00;   40.00;    6.18;   0.868;       0;    2.89; 1025.39;    4.52
31.01.2024 01:56:00;   85.90;  100.00;   40.00;    6.15;   0.869;       0;    3.88; 1025.42;    5.47
31.01.2024 01:57:00;  101.00;  100.00;   40.00;    6.12;   0.869;       0;    3.26; 1025.43;    5.15
31.01.2024 01:58:00;  101.00;  100.00;   40.00;    6.10;   0.870;       0;    3.74; 1025.45;    4.89
31.01.2024 01:59:00;  101.00;  100.00;   40.00;    6.07;   0.871;       0;    2.96; 1025.48;    4.21
31.01.2024 02:00:00;  101.00;  100.00;   40.00;    6.05;   0.873;       0;    4.47; 1025.48;    7.22
31.01.2024 02:01:00;   95.97;  100.00;   40.00;    6.03;   0.873;       0;    5.22; 1025.50;    7.07
31.01.2024 02:02:00;  101.00;  100.00;   40.00;    6.01;   0.874;       0;    3.48; 1025.50;    4.95
31.01.2024 02:03:00;  101.00;  100.00;   40.00;    5.99;   0.875;       0;    2.94; 1025.52;    3.94
31.01.2024 02:04:00;  101.00;  100.00;   40.00;    5.99;   0.876;       0;    2.19; 1025.52;    2.64
31.01.2024 02:05:00;  101.00;  100.00;   40.00;    5.98;   0.877;       0;    3.60; 1025.54;    4.38
31.01.2024 02:06:00;  101.00;  100.00;   40.00;    5.97;   0.878;       0;    2.21; 1025.56;    2.61
31.01.2024 02:07:00;  101.00;  100.00;   40.00;    5.96;   0.879;       0;    4.49; 1025.60;    6.33
31.01.2024 02:08:00;  101.00;  100.00;   40.00;    5.94;   0.879;       0;    4.90; 1025.61;    5.79
31.01.2024 02:09:00;  101.00;  100.00;   40.00;    5.94;   0.880;       0;    4.08; 1025.61;    5.01
31.01.2024 02:10:00;  101.00;  100.00;   40.00;    5.93;   0.880;       0;    4.01; 1025.63;    5.78
31.01.2024 02:11:00;  101.00;  100.00;   40.00;    5.93;   0.880;       0;    2.62; 1025.62;    4.66
31.01.2024 02:12:00;   95.97;  100.00;   40.00;    5.92;   0.881;       0;    5.91; 1025.63;    8.58
