         Datum/Zeit;Psychro T;Psychro Tf;Pyranometer CM3;Temperatur; Feuchte;   Regen;Wind (m/s);Druck (hPa);Windmax (m/s)
04.01.2024 00:00:00;  101.00;  100.00;   40.00;    7.61;   0.878;       0;    4.05;  984.26;    5.00
04.01.2024 00:01:00;  101.00;  100.00;   40.00;    7.60;   0.879;       0;    2.33;  984.26;    3.09
04.01.2024 00:02:00;  101.00;  100.00;   40.00;    7.59;   0.880;       4;    3.10;  984.27;    4.33
04.01.2024 00:03:00;   90.93;  100.00;   40.00;    7.57;   0.880;       0;    3.07;  984.27;    4.40
04.01.2024 00:04:00;  101.00;  100.00;   40.00;    7.56;   0.880;       0;    2.52;  984.29;    3.34
04.01.2024 00:05:00;  101.00;  100.00;   40.00;    7.55;   0.881;       0;    2.67;  984.29;    3.11
04.01.2024 00:06:00;   80.87;  100.00;   40.00;    7.57;   0.883;       0;    3.22;  984.29;    4.83
04.01.2024 00:07:00;  101.00;  100.00;   40.00;    7.57;   0.884;       0;    3.65;  984.29;    5.93
04.01.2024 00:08:00;   85.90;  100.00;   40.00;    7.58;   0.885;       0;    3.18;  984.30;    5.15
04.01.2024 00:09:00;   95.97;  100.00;   40.00;    7.58;   0.884;       3;    3.30;  984.30;    4.99
04.01.2024 00:10:00;  101.00;  100.00;   40.00;    7.57;   0.885;       0;    4.51;  984.30;    6.21
04.01.2024 00:11:00;  101.00;  100.00;   40.00;    7.57;   0.885;       0;    3.73;  984.30;    5.12
04.01.2024 00:12:00;   95.97;  100.00;   40.00;    7.56;   0.886;       4;    4.77;  984.32;    7.46
04.01.2024 00:13:00;  101.00;  100.00;   40.00;    7.55;   0.886;       0;    2.94;  984.34;    3.70
04.01.2024 00:14:00;  101.00;  100.00;   40.00;    7.55;   0.887;       4;    2.89;  984.33;    5.34
04.01.2024 00:15:00;  101.00;  100.00;   40.00;    7.55;   0.888;       0;    3.14;  984.33;    5.34
04.01.2024 00:16:00;  101.00;  100.00;   40.00;    7.54;   0.889;       3;    4.56;  984.31;    6.41
04.01.2024 00:17:00;  101.00;  100.00;   40.00;    7.53;   0.890;       0;    3.38;  984.34;    4.56
04.01.2024 00:18:00;  101.00;  100.00;   40.00;    7.52;   0.890;       0;    5.01;  984.35;    7.07
04.01.2024 00:19:00;  101.00;  100.00;   40.00;    7.51;   0.891;       0;    3.61;  984.36;    4.84
04.01.2024 00:20:00;  101.00;  100.00;   40.00;    7.49;   0.892;       0;    3.55;  984.36;    5.31
04.01.2024 00:21:00;  101.00;  100.00;   40.00;    7.49;   0.894;       0;    3.93;  984.37;    5.80
04.01.2024 00:22:00;  101.00;  100.00;   40.00;    7.49;   0.895;       0;    4.01;  984.37;    6.37
04.01.2024 00:23:00;  101.00;  100.00;   40.00;    7.47;   0.895;       0;    3.35;  984.37;    5.68
04.01.2024 00:24:00;  101.00;  100.00;   40.00;    7.46;   0.896;       0;    3.22;  984.36;    4.70
04.01.2024 00:25:00;   90.93;  100.00;   40.00;    7.44;   0.898;       0;    2.60;  984.36;    5.24
04.01.2024 00:26:00;  101.00;  100.00;   40.00;    7.44;   0.899;       3;    2.69;  984.36;    4.01
04.01.2024 00:27:00;  101.00;  100.00;   40.00;    7.43;   0.900;       0;    2.64;  984.36;    3.29
04.01.2024 00:28:00;   80.87;  100.00;   40.00;    7.43;   0.901;       0;    2.53;  984.35;    3.85
04.01.2024 00:29:00;   95.97;  100.00;   40.00;    7.43;   0.903;       0;    2.94;  984.36;    3.56
04.01.2024 00:30:00;   90.93;  100.00;   40.00;    7.42;   0.903;       0;    3.65;  984.36;    4.51
04.01.2024 00:31:00;  101.00;  100.00;   40.00;    7.41;   0.904;       3;    4.29;  984.40;    5.90
04.01.2024 00:32:00;   90.93;  100.00;   40.00;    7.41;   0.905;       0;    3.64;  984.39;    5.80
04.01.2024 00:33:00;   90.93;  100.00;   40.00;    7.41;   0.907;       0;    2.72;  984.38;    4.67
04.01.2024 00:34:00;   95.97;  100.00;   40.00;    7.42;   0.908;       0;    4.15;  984.40;    5.44
04.01.2024 00:35:00;   90.93;  100.00;   40.00;    7.43;   0.908;       0;    4.21;  984.40;    5.71
04.01.2024 00:36:00;  101.00;  100.00;   40.00;    7.43;   0.909;       0;    3.62;  984.41;    5.08
04.01.2024 00:37:00;  101.00;  100.00;   40.00;    7.43;   0.910;       0;    4.61;  984.41;    7.11
04.01.2024 00:38:00;  101.00;  100.00;   40.00;    7.44;   0.910;       0;    2.55;  984.45;    3.92
04.01.2024 00:39:00;  101.00;  100.00;   40.00;    7.44;   0.911;       0;    3.29;  984.46;    4.14
04.01.2024 00:40:00;   90.93;  100.00;   40.00;    7.44;   0.911;       0;    2.44;  984.47;    3.09
04.01.2024 00:41:00;  101.00;  100.00;   40.00;    7.44;   0.911;       0;    2.96;  984.49;    3.74
04.01.2024 00:42:00;  101.00;  100.00;   40.00;    7.46;   0.912;       0;    3.35;  984.50;    4.67
04.01.2024 00:43:00;  101.00;  100.00;   40.00;    7.46;   0.913;       0;    2.81;  984.50;    3.81
04.01.2024 00:44:00;   90.93;  100.00;   40.00;    7.46;   0.913;       0;    2.12;  984.51;    2.61
04.01.2024 00:45:00;   90.93;  100.00;   40.00;    7.46;   0.913;       0;    2.17;  984.51;    2.81
04.01.2024 00:46:00;  101.00;  100.00;   40.00;    7.47;   0.914;       0;    1.85;  984.51;    2.57
04.01.2024 00:47:00;  101.00;  100.00;   40.00;    7.47;   0.914;       0;    2.13;  984.52;    2.65
04.01.2024 00:48:00;   90.93;  100.00;   40.00;    7.47;   0.915;       3;    3.52;  984.53;    4.20
04.01.2024 00:49:00;  101.00;  100.00;   40.00;    7.48;   0.915;       0;    3.61;  984.55;    5.24
04.01.2024 00:50:00;  101.00;  100.00;   40.00;    7.48;   0.916;       0;    2.38;  984.54;    3.24
04.01.2024 00:51:00;  101.00;  100.00;   40.00;    7.49;   0.916;       0;    3.47;  984.55;    5.17
04.01.2024 00:52:00;  101.00;  100.00;   40.00;    7.49;   0.916;       0;    3.47;  984.55;    6.03
04.01.2024 00:53:00;  101.00;  100.00;   40.00;    7.49;   0.916;       0;    2.62;  984.56;    3.23
04.01.2024 00:54:00;   85.90;  100.00;   40.00;    7.50;   0.917;       0;    2.68;  984.57;    3.65
04.01.2024 00:55:00;  101.00;  100.00;   40.00;    7.51;   0.917;       3;    3.17;  984.58;    4.87
04.01.2024 00:56:00;  101.00;  100.00;   40.00;    7.51;   0.918;       0;    2.77;  984.59;    4.46
04.01.2024 00:57:00;  101.00;  100.00;   40.00;    7.51;   0.918;       0;    4.25;  984.59;    5.02
04.01.2024 00:58:00;  101.00;  100.00;   40.00;    7.52;   0.918;       0;    3.85;  984.62;    4.86
04.01.2024 00:59:00;  101.00;  100.00;   40.00;    7.53;   0.919;       0;    3.21;  984.62;    4.46
04.01.2024 01:00:00;   90.93;  100.00;   40.00;    7.54;   0.919;       0;    4.03;  984.62;    6.02
04.01.2024 01:01:00;  101.00;  100.00;   40.00;    7.55;   0.919;       0;    3.91;  984.62;    5.16
04.01.2024 01:02:00;   80.87;  100.00;   40.00;    7.55;   0.919;       0;    2.46;  984.63;    3.01
04.01.2024 01:03:00;  101.00;  100.00;   40.00;    7.56;   0.919;       0;    2.94;  984.63;    3.88
04.01.2024 01:04:00;   95.97;  100.00;   40.00;    7.57;   0.920;       3;    2.78;  984.66;    4.01
04.01.2024 01:05:00;  101.00;  100.00;   40.00;    7.58;   0.920;       0;    4.19;  984.68;    6.31
04.01.2024 01:06:00;  101.00;  100.00;   40.00;    7.59;   0.920;       0;    4.58;  984.68;    6.30
04.01.2024 01:07:00;  101.00;  100.00;   40.00;    7.60;   0.921;       4;    2.77;  984.69;    3.48
04.01.2024 01:08:00;  101.00;  100.00;   40.00;    7.60;   0.921;       0;    2.71;  984.72;    4.13
04.01.2024 01:09:00;  101.00;  100.00;   40.00;    7.62;   0.922;       5;    3.12;  984.73;    4.72
04.01.2024 01:10:00;   75.83;  100.00;   40.00;    7.63;   0.922;       0;    4.45;  984.71;    7.12
04.01.2024 01:11:00;  101.00;  100.00;   40.00;    7.64;   0.922;       4;    3.07;  984.73;    4.29
04.01.2024 01:12:00;   90.93;  100.00;   40.00;    7.65;   0.922;       0;    4.35;  984.74;    6.85
04.01.2024 01:13:00;  101.00;  100.00;   40.00;    7.65;   0.921;       0;    3.30;  984.74;    5.18
04.01.2024 01:14:00;   95.97;  100.00;   40.00;    7.65;   0.921;       0;    3.71;  984.75;    5.26
04.01.2024 01:15:00;  101.00;  100.00;   40.00;    7.63;   0.920;       0;    5.72;  984.76;    7.47
04.01.2024 01:16:00;  101.00;  100.00;   40.00;    7.62;   0.920;       3;    4.52;  984.77;    6.14
04.01.2024 01:17:00;   90.93;  100.00;   40.00;    7.62;   0.920;       0;    3.30;  984.80;    4.60
04.01.2024 01:18:00;  101.00;  100.00;   40.00;    7.61;   0.920;       0;    3.75;  984.82;    5.47
04.01.2024 01:19:00;  101.00;  100.00;   40.00;    7.60;   0.920;       0;    2.60;  984.83;    3.44
04.01.2024 01:20:00;  101.00;  100.00;   40.00;    7.60;   0.920;       0;    2.52;  984.83;    3.90
04.01.2024 01:21:00;  101.00;  100.00;   40.00;    7.60;   0.920;       0;    3.59;  984.86;    5.96
04.01.2024 01:22:00;  101.00;  100.00;   40.00;    7.59;   0.919;       0;    3.08;  984.87;    3.96
04.01.2024 01:23:00;  101.00;  100.00;   40.00;    7.58;   0.919;       0;    3.30;  984.89;    5.13
04.01.2024 01:24:00;  101.00;  100.00;   40.00;    7.56;   0.919;       0;    5.26;  984.91;    7.40
04.01.2024 01:25:00;  101.00;  100.00;   40.00;    7.55;   0.919;       0;    4.67;  984.93;    5.75
04.01.2024 01:26:00;  101.00;  100.00;   40.00;    7.53;   0.918;       0;    4.24;  984.94;    6.85
04.01.2024 01:27:00;   90.93;  100.00;   40.00;    7.52;   0.919;       0;    4.37;  984.95;    5.93
04.01.2024 01:28:00;  101.00;  100.00;   40.00;    7.51;   0.918;       0;    3.92;  984.97;    5.54
04.01.2024 01:29:00;  101.00;  100.00;   40.00;    7.50;   0.918;       0;    4.30;  985.02;    6.73
04.01.2024 01:30:00;   95.97;  100.00;   40.00;    7.49;   0.918;       0;    5.51;  985.01;    6.91
04.01.2024 01:31:00;   95.97;  100.00;   40.00;    7.48;   0.918;       0;    4.30;  985.01;    6.27
04.01.2024 01:32:00;   80.87;  100.00;   40.00;    7.48;   0.918;       0;    4.12;  985.02;    6.08
04.01.2024 01:33:00;  101.00;  100.00;   40.00;    7.48;   0.918;       0;    3.54;  985.03;    5.98
04.01.2024 01:34:00;  101.00;  100.00;   40.00;    7.48;   0.918;       0;    2.71;  985.07;    3.95
04.01.2024 01:35:00;   90.93;  100.00;   40.00;    7.48;   0.918;       0;    4.38;  985.07;    5.74
04.01.2024 01:36:00;  101.00;  100.00;   40.00;    7.48;   0.918;       0;    4.62;  985.09;    5.78
04.01.2024 01:37:00;  101.00;  100.00;   40.00;    7.51;   0.919;       0;    3.61;  985.10;    4.48
04.01.2024 01:38:00;  101.00;  100.00;   40.00;    7.53;   0.919;       0;    3.92;  985.09;    4.94
04.01.2024 01:39:00;   95.97;  100.00;   40.00;    7.54;   0.918;       0;    3.03;  985.09;    3.61
04.01.2024 01:40:00;  101.00;  100.00;   40.00;    7.53;   0.916;       0;    2.88;  985.10;    4.48
04.01.2024 01:41:00;   90.93;  100.00;   40.00;    7.53;   0.916;       0;    3.00;  985.12;    4.48
04.01.2024 01:42:00;  101.00;  100.00;   40.00;    7.53;   0.915;       0;    3.58;  985.15;    5.17
04.01.2024 01:43:00;   90.93;  100.00;   40.00;    7.52;   0.915;       0;    4.80;  985.14;    6.19
04.01.2024 01:44:00;  101.00;  100.00;   40.00;    7.52;   0.914;       0;    4.43;  985.16;    6.13
04.01.2024 01:45:00;  101.00;  100.00;   40.00;    7.52;   0.914;       0;    3.79;  985.16;    5.58
