         Datum/Zeit;Psychro T;Psychro Tf;Pyranometer CM3;Temperatur; Feuchte;   Regen;Wind (m/s);Druck (hPa);Windmax (m/s)
15.01.2024 00:00:00;  101.00;  100.00;   40.00;    1.01;   0.910;       0;    4.88;  991.13;    6.49
15.01.2024 00:01:00;  101.00;  100.00;   40.00;    1.02;   0.911;       0;    4.05;  991.11;    6.17
15.01.2024 00:02:00;  101.00;  100.00;   40.00;    1.04;   0.912;       0;    3.24;  991.14;    5.60
15.01.2024 00:03:00;  101.00;  100.00;   40.00;    1.06;   0.912;       0;    3.85;  991.16;    6.10
15.01.2024 00:04:00;  101.00;  100.00;   40.00;    1.07;   0.912;       0;    3.31;  991.16;    5.26
15.01.2024 00:05:00;  101.00;  100.00;   40.00;    1.08;   0.913;       0;    5.12;  991.12;    8.29
15.01.2024 00:06:00;  101.00;  100.00;   40.00;    1.10;   0.913;       0;    6.16;  991.08;    8.92
15.01.2024 00:07:00;  101.00;  100.00;   40.00;    1.12;   0.913;       0;    4.52;  991.04;    6.52
15.01.2024 00:08:00;   95.97;  100.00;   40.00;    1.13;   0.913;       0;    4.64;  991.00;    6.31
15.01.2024 00:09:00;  101.00;  100.00;   40.00;    1.14;   0.913;       0;    4.38;  990.96;    6.26
15.01.2024 00:10:00;  101.00;  100.00;   40.00;    1.15;   0.913;       0;    3.47;  990.94;    5.67
15.01.2024 00:11:00;  101.00;  100.00;   40.00;    1.16;   0.913;       0;    4.04;  990.94;    5.91
15.01.2024 00:12:00;   90.93;  100.00;   40.00;    1.17;   0.913;       0;    5.15;  990.93;    7.82
15.01.2024 00:13:00;   95.97;  100.00;   40.00;    1.18;   0.914;       0;    4.82;  990.94;    6.36
15.01.2024 00:14:00;  101.00;  100.00;   40.00;    1.19;   0.914;       0;    4.99;  990.95;    7.53
15.01.2024 00:15:00;  101.00;  100.00;   40.00;    1.19;   0.913;       0;    7.16;  990.91;   10.28
15.01.2024 00:16:00;  101.00;  100.00;   40.00;    1.19;   0.913;       0;    6.92;  990.96;    8.52
15.01.2024 00:17:00;  101.00;  100.00;   40.00;    1.19;   0.913;       0;    5.19;  990.99;    6.75
15.01.2024 00:18:00;  101.00;  100.00;   40.00;    1.19;   0.912;       0;    8.23;  991.02;   10.32
15.01.2024 00:19:00;  101.00;  100.00;   40.00;    1.19;   0.912;       0;    4.41;  990.99;    6.72
