         Datum/Zeit;Psychro T;Psychro Tf;Pyranometer CM3;Temperatur; Feuchte;   Regen;Wind (m/s);Druck (hPa);Windmax (m/s)
24.01.2024 00:00:00;   95.97;  100.00;   40.00;   10.28;   0.895;       0;    5.96; 1005.05;   10.75
24.01.2024 00:01:00;   95.97;  100.00;   40.00;   10.30;   0.892;       0;    7.28; 1005.08;    9.61
24.01.2024 00:02:00;  101.00;  100.00;   40.00;   10.32;   0.890;       0;    5.75; 1004.91;    8.81
24.01.2024 00:03:00;  101.00;  100.00;   40.00;   10.32;   0.887;       0;    6.31; 1004.84;    8.37
24.01.2024 00:04:00;   95.97;  100.00;   40.00;   10.33;   0.886;       0;    6.12; 1004.63;    7.76
24.01.2024 00:05:00;  101.00;  100.00;   40.00;   10.34;   0.885;       0;    5.62; 1004.67;    7.20
24.01.2024 00:06:00;  101.00;  100.00;   40.00;   10.37;   0.885;       0;    7.67; 1004.70;    9.91
24.01.2024 00:07:00;  101.00;  100.00;   40.00;   10.39;   0.884;       0;    6.93; 1004.68;    9.57
24.01.2024 00:08:00;  101.00;  100.00;   40.00;   10.42;   0.883;       0;    6.22; 1004.75;    9.57
24.01.2024 00:09:00;   85.90;  100.00;   40.00;   10.43;   0.881;       0;    5.59; 1004.73;    8.49
24.01.2024 00:10:00;  101.00;  100.00;   40.00;   10.45;   0.880;       0;    5.62; 1004.65;    8.49
24.01.2024 00:11:00;  101.00;  100.00;   40.00;   10.46;   0.879;       0;    5.69; 1004.57;    7.74
24.01.2024 00:12:00;  101.00;  100.00;   40.00;   10.47;   0.877;       0;    6.81; 1004.59;   11.12
24.01.2024 00:13:00;  101.00;  100.00;   40.00;   10.48;   0.877;       0;    5.29; 1004.58;    8.82
24.01.2024 00:14:00;  101.00;  100.00;   40.00;   10.50;   0.876;       0;    5.62; 1004.54;    7.47
24.01.2024 00:15:00;  101.00;  100.00;   40.00;   10.53;   0.877;       0;    8.11; 1004.61;   11.33
24.01.2024 00:16:00;  101.00;  100.00;   40.00;   10.56;   0.876;       0;    7.13; 1004.59;   10.78
24.01.2024 00:17:00;  101.00;  100.00;   40.00;   10.60;   0.875;       0;    5.32; 1004.67;    7.67
24.01.2024 00:18:00;  101.00;  100.00;   40.00;   10.62;   0.873;       0;    5.49; 1004.62;    7.67
24.01.2024 00:19:00;  101.00;  100.00;   40.00;   10.63;   0.872;       0;    5.60; 1004.66;    8.84
24.01.2024 00:20:00;  101.00;  100.00;   40.00;   10.65;   0.871;       0;    5.12; 1004.74;    7.53
24.01.2024 00:21:00;  101.00;  100.00;   40.00;   10.67;   0.870;       0;    5.93; 1004.74;    8.53
24.01.2024 00:22:00;   95.97;  100.00;   40.00;   10.68;   0.869;       0;    7.02; 1004.63;    9.19
24.01.2024 00:23:00;  101.00;  100.00;   40.00;   10.69;   0.868;       0;    4.58; 1004.61;    6.63
24.01.2024 00:24:00;  101.00;  100.00;   40.00;   10.68;   0.865;       0;    4.31; 1004.67;    5.96
24.01.2024 00:25:00;  101.00;  100.00;   40.00;   10.67;   0.864;       0;    5.08; 1004.68;    6.44
24.01.2024 00:26:00;  101.00;  100.00;   40.00;   10.66;   0.864;       0;    6.56; 1004.61;    8.98
24.01.2024 00:27:00;  101.00;  100.00;   40.00;   10.66;   0.864;       0;    5.02; 1004.46;    8.46
24.01.2024 00:28:00;  101.00;  100.00;   40.00;   10.67;   0.864;       0;    5.46; 1004.34;    7.93
24.01.2024 00:29:00;  101.00;  100.00;   40.00;   10.66;   0.863;       0;    5.91; 1004.26;    7.89
24.01.2024 00:30:00;   95.97;  100.00;   40.00;   10.67;   0.864;       0;    7.06; 1004.37;    9.19
24.01.2024 00:31:00;   95.97;  100.00;   40.00;   10.70;   0.865;       0;    9.16; 1004.48;   10.94
24.01.2024 00:32:00;  101.00;  100.00;   40.00;   10.74;   0.865;       0;    5.10; 1004.51;    7.54
24.01.2024 00:33:00;   95.97;  100.00;   40.00;   10.76;   0.864;       0;    4.22; 1004.59;    6.73
24.01.2024 00:34:00;  101.00;  100.00;   40.00;   10.77;   0.862;       0;    8.29; 1004.61;   10.81
24.01.2024 00:35:00;  101.00;  100.00;   40.00;   10.79;   0.861;       0;    8.75; 1004.54;   11.36
24.01.2024 00:36:00;  101.00;  100.00;   40.00;   10.81;   0.861;       0;    5.17; 1004.55;    9.16
24.01.2024 00:37:00;  101.00;  100.00;   40.00;   10.81;   0.859;       0;    5.95; 1004.54;   11.06
24.01.2024 00:38:00;  101.00;  100.00;   40.00;   10.82;   0.858;       0;    6.41; 1004.51;   10.70
24.01.2024 00:39:00;  101.00;  100.00;   40.00;   10.83;   0.858;       0;    6.11; 1004.43;    8.75
24.01.2024 00:40:00;   95.97;  100.00;   40.00;   10.83;   0.858;       0;    6.36; 1004.49;    9.01
24.01.2024 00:41:00;  101.00;  100.00;   40.00;   10.84;   0.857;       0;    5.82; 1004.37;   10.66
24.01.2024 00:42:00;  101.00;  100.00;   40.00;   10.84;   0.857;       0;    6.87; 1004.20;    9.19
24.01.2024 00:43:00;  101.00;  100.00;   40.00;   10.84;   0.857;       0;    7.52; 1004.11;    9.19
24.01.2024 00:44:00;   90.93;  100.00;   40.00;   10.85;   0.857;       0;    6.33; 1004.03;    9.39
24.01.2024 00:45:00;  101.00;  100.00;   40.00;   10.84;   0.857;       0;    4.45; 1004.07;    5.68
24.01.2024 00:46:00;   95.97;  100.00;   40.00;   10.84;   0.857;       0;    6.31; 1004.03;    8.36
24.01.2024 00:47:00;  101.00;  100.00;   40.00;   10.84;   0.857;       0;    3.92; 1003.97;    6.77
24.01.2024 00:48:00;   95.97;  100.00;   40.00;   10.82;   0.857;       0;    5.41; 1003.85;    7.52
24.01.2024 00:49:00;  101.00;  100.00;   40.00;   10.81;   0.857;       0;    5.07; 1003.84;    7.28
24.01.2024 00:50:00;   90.93;  100.00;   40.00;   10.80;   0.858;       0;    5.83; 1003.76;   10.66
24.01.2024 00:51:00;  101.00;  100.00;   40.00;   10.80;   0.859;       0;    6.03; 1003.62;    9.85
24.01.2024 00:52:00;   95.97;  100.00;   40.00;   10.80;   0.860;       0;    8.05; 1003.56;   12.69
24.01.2024 00:53:00;  101.00;  100.00;   40.00;   10.81;   0.861;       0;    5.03; 1003.59;    8.48
24.01.2024 00:54:00;  101.00;  100.00;   40.00;   10.83;   0.862;       0;    5.68; 1003.69;    8.92
24.01.2024 00:55:00;  101.00;  100.00;   40.00;   10.84;   0.861;       0;    5.82; 1003.51;    7.32
24.01.2024 00:56:00;  101.00;  100.00;   40.00;   10.85;   0.861;       0;    6.37; 1003.64;    9.80
24.01.2024 00:57:00;   85.90;  100.00;   40.00;   10.85;   0.861;       0;    6.82; 1003.67;   10.93
24.01.2024 00:58:00;  101.00;  100.00;   40.00;   10.86;   0.861;       0;    5.45; 1003.63;    6.87
24.01.2024 00:59:00;  101.00;  100.00;   40.00;   10.87;   0.861;       0;    6.14; 1003.61;    8.80
