Datum Zeit;  Temperatur; Wind; Richtung; Peak 
05.02.2024 00:00; 11.72; 8.95; 258; 12.3
05.02.2024 00:01; 11.81; 10.76; 254; 14.9
05.02.2024 00:02; 11.75; 11.46; 261; 13.5
05.02.2024 00:03; 11.76; 10.70; 253; 13.9
05.02.2024 00:04; 11.94; 14.77; 256; 18.6
05.02.2024 00:05; 11.80; 12.58; 257; 15.1
05.02.2024 00:06; 11.79; 11.14; 258; 14.4
05.02.2024 00:07; 11.79; 12.09; 253; 15.5
05.02.2024 00:08; 11.75; 11.36; 256; 16.6
05.02.2024 00:09; 11.79; 11.72; 262; 15.2
05.02.2024 00:10; 11.72; 9.98; 256; 15.7
05.02.2024 00:11; 11.84; 13.15; 256; 15.9
05.02.2024 00:12; 11.79; 11.69; 256; 14.6
05.02.2024 00:13; 11.86; 12.51; 256; 14.8
05.02.2024 00:14; 11.79; 11.82; 261; 15.3
05.02.2024 00:15; 11.82; 11.88; 250; 15.4
05.02.2024 00:16; 11.80; 12.43; 260; 18.2
05.02.2024 00:17; 11.87; 13.84; 252; 16.9
05.02.2024 00:18; 11.74; 12.10; 263; 14.2
05.02.2024 00:19; 11.63; 8.82; 256; 12.4
05.02.2024 00:20; 11.66; 8.80; 254; 13.2
05.02.2024 00:21; 11.72; 11.84; 258; 14.2
05.02.2024 00:22; 11.69; 10.94; 252; 15.3
05.02.2024 00:23; 11.68; 10.15; 255; 15.1
05.02.2024 00:24; 11.67; 8.93; 251; 11.8
05.02.2024 00:25; 11.69; 10.12; 256; 13.7
05.02.2024 00:26; 11.71; 11.30; 255; 15.1
05.02.2024 00:27; 11.74; 11.26; 254; 14.3
05.02.2024 00:28; 11.84; 13.27; 255; 16.7
05.02.2024 00:29; 11.81; 11.79; 257; 13.6
05.02.2024 00:30; 11.72; 10.00; 257; 14.1
05.02.2024 00:31; 11.75; 11.85; 253; 15.4
05.02.2024 00:32; 11.70; 10.59; 260; 14.2
05.02.2024 00:33; 11.72; 10.93; 253; 15.1
05.02.2024 00:34; 11.75; 12.27; 258; 15.4
05.02.2024 00:35; 11.73; 11.06; 259; 16.9
05.02.2024 00:36; 11.74; 11.37; 261; 14.6
05.02.2024 00:37; 11.73; 11.41; 254; 15.6
05.02.2024 00:38; 11.65; 9.28; 253; 12.6
05.02.2024 00:39; 11.72; 12.12; 257; 17.1
05.02.2024 00:40; 11.67; 11.39; 255; 14.1
05.02.2024 00:41; 11.68; 10.36; 259; 12.6
05.02.2024 00:42; 11.63; 8.47; 258; 13.9
05.02.2024 00:43; 11.64; 10.03; 255; 12.7
05.02.2024 00:44; 11.64; 10.50; 264; 14.2
05.02.2024 00:45; 11.70; 12.22; 258; 15.6
05.02.2024 00:46; 11.59; 9.54; 252; 13.6
05.02.2024 00:47; 11.66; 11.01; 254; 15.8
05.02.2024 00:48; 11.66; 9.79; 258; 14.6
05.02.2024 00:49; 11.70; 11.52; 255; 15.6
05.02.2024 00:50; 11.68; 11.10; 260; 13.7
05.02.2024 00:51; 11.63; 9.60; 252; 12.9
05.02.2024 00:52; 11.67; 11.33; 254; 14.4
05.02.2024 00:53; 11.56; 9.25; 254; 10.9
05.02.2024 00:54; 11.56; 8.89; 257; 11.8
05.02.2024 00:55; 11.58; 9.26; 256; 12.6
05.02.2024 00:56; 11.64; 12.69; 251; 15.5
05.02.2024 00:57; 11.62; 10.96; 253; 14.2
05.02.2024 00:58; 11.61; 12.19; 255; 14.4
05.02.2024 00:59; 11.62; 11.17; 261; 13.6
05.02.2024 01:00; 11.63; 11.35; 255; 14.3
05.02.2024 01:01; 11.61; 11.11; 254; 13.8
05.02.2024 01:02; 11.63; 10.63; 256; 13.6
05.02.2024 01:03; 11.52; 9.08; 254; 11.6
05.02.2024 01:04; 11.64; 11.59; 254; 15.3
05.02.2024 01:05; 11.60; 10.81; 257; 13.6
05.02.2024 01:06; 11.63; 11.61; 262; 15.7
05.02.2024 01:07; 11.65; 12.14; 258; 15.7
05.02.2024 01:08; 11.63; 11.47; 259; 15.8
05.02.2024 01:09; 11.56; 8.43; 260; 11.5
05.02.2024 01:10; 11.52; 8.97; 265; 14.5
05.02.2024 01:11; 11.50; 8.83; 257; 11.6
05.02.2024 01:12; 11.55; 9.75; 256; 12.3
05.02.2024 01:13; 11.62; 11.13; 255; 15.6
05.02.2024 01:14; 11.57; 9.41; 263; 13.2
05.02.2024 01:15; 11.70; 11.65; 252; 16.3
05.02.2024 01:16; 11.62; 10.39; 260; 12.8
05.02.2024 01:17; 11.57; 9.90; 261; 13.1
05.02.2024 01:18; 11.54; 9.98; 258; 13.4
05.02.2024 01:19; 11.58; 10.85; 257; 13.5
05.02.2024 01:20; 11.58; 9.67; 263; 13.1
05.02.2024 01:21; 11.60; 11.70; 263; 14.5
05.02.2024 01:22; 11.51; 8.49; 259; 11.9
05.02.2024 01:23; 11.54; 9.12; 258; 13.2
05.02.2024 01:24; 11.56; 8.26; 258; 12.3
05.02.2024 01:25; 11.56; 10.80; 258; 13.1
05.02.2024 01:26; 11.51; 8.77; 262; 10.7
05.02.2024 01:27; 11.52; 8.53; 257; 13.4
05.02.2024 01:28; 11.72; 12.49; 253; 14.8
05.02.2024 01:29; 11.63; 10.65; 261; 13.6
05.02.2024 01:30; 11.60; 11.38; 259; 14.5
05.02.2024 01:31; 11.52; 9.75; 254; 12.7
05.02.2024 01:32; 11.53; 8.42; 264; 16.6
05.02.2024 01:33; 11.57; 10.07; 255; 16.3
05.02.2024 01:34; 11.58; 10.46; 257; 13.9
05.02.2024 01:35; 11.49; 8.45; 262; 11.1
05.02.2024 01:36; 11.53; 9.34; 258; 14.3
05.02.2024 01:37; 11.62; 12.02; 260; 13.9
05.02.2024 01:38; 11.60; 11.71; 257; 14.1
05.02.2024 01:39; 11.58; 11.43; 262; 14.5
05.02.2024 01:40; 11.49; 8.56; 251; 11.1
05.02.2024 01:41; 11.53; 9.25; 261; 10.8
05.02.2024 01:42; 11.49; 7.97; 262; 11.8
05.02.2024 01:43; 11.50; 8.49; 265; 11.9
05.02.2024 01:44; 11.52; 8.40; 259; 11.2
05.02.2024 01:45; 11.46; 7.95; 251; 9.8
05.02.2024 01:46; 11.45; 7.05; 262; 9.4
05.02.2024 01:47; 11.58; 10.12; 260; 15.1
05.02.2024 01:48; 11.63; 12.16; 258; 14.3
05.02.2024 01:49; 11.60; 11.20; 261; 15.2
05.02.2024 01:50; 11.61; 11.38; 263; 15.7
05.02.2024 01:51; 11.64; 11.62; 256; 15.5
05.02.2024 01:52; 11.68; 12.57; 259; 15.7
05.02.2024 01:53; 11.71; 13.38; 258; 17.8
05.02.2024 01:54; 11.64; 11.36; 260; 13.3
05.02.2024 01:55; 11.63; 12.67; 256; 16.7
05.02.2024 01:56; 11.59; 11.71; 258; 16.7
05.02.2024 01:57; 11.58; 9.95; 265; 15.5
05.02.2024 01:58; 11.62; 10.88; 255; 14.2
05.02.2024 01:59; 11.63; 12.26; 260; 15.5
05.02.2024 02:00; 11.58; 9.97; 257; 15.7
05.02.2024 02:01; 11.55; 8.97; 255; 13.5
05.02.2024 02:02; 11.61; 11.45; 254; 15.4
05.02.2024 02:03; 11.53; 8.60; 265; 13.5
05.02.2024 02:04; 11.65; 11.47; 254; 17.2
05.02.2024 02:05; 11.61; 10.21; 254; 13.3
05.02.2024 02:06; 11.61; 9.80; 263; 13.6
05.02.2024 02:07; 11.60; 10.38; 263; 13.5
05.02.2024 02:08; 11.65; 11.37; 255; 13.8
05.02.2024 02:09; 11.59; 9.24; 259; 12.4
05.02.2024 02:10; 11.55; 8.47; 259; 11.2
05.02.2024 02:11; 11.56; 8.88; 259; 13.4
05.02.2024 02:12; 11.57; 8.53; 265; 10.7
05.02.2024 02:13; 11.57; 10.85; 258; 12.8
05.02.2024 02:14; 11.68; 11.65; 255; 15.3
05.02.2024 02:15; 11.71; 11.94; 260; 15.5
05.02.2024 02:16; 11.63; 11.45; 259; 14.1
05.02.2024 02:17; 11.61; 10.12; 265; 14.5
05.02.2024 02:18; 11.59; 9.74; 265; 12.9
05.02.2024 02:19; 11.69; 11.21; 263; 14.5
05.02.2024 02:20; 11.71; 12.39; 260; 15.5
05.02.2024 02:21; 11.74; 11.74; 261; 15.3
05.02.2024 02:22; 11.59; 8.99; 264; 12.7
05.02.2024 02:23; 11.74; 11.49; 263; 14.9
05.02.2024 02:24; 11.69; 11.18; 263; 13.9
05.02.2024 02:25; 11.68; 10.82; 258; 12.8
05.02.2024 02:26; 11.67; 9.25; 265; 13.3
05.02.2024 02:27; 11.80; 12.49; 264; 15.6
05.02.2024 02:28; 11.76; 11.78; 258; 14.7
05.02.2024 02:29; 11.70; 10.48; 262; 13.8
05.02.2024 02:30; 11.66; 10.42; 256; 12.4
05.02.2024 02:31; 11.71; 10.47; 259; 15.8
05.02.2024 02:32; 11.82; 13.09; 261; 16.5
05.02.2024 02:33; 11.73; 11.12; 259; 16.6
05.02.2024 02:34; 11.65; 9.11; 265; 11.6
05.02.2024 02:35; 11.67; 9.02; 261; 12.7
05.02.2024 02:36; 11.68; 8.92; 262; 11.4
05.02.2024 02:37; 11.64; 8.27; 265; 12.1
05.02.2024 02:38; 11.65; 10.16; 262; 13.6
05.02.2024 02:39; 11.66; 9.75; 261; 13.7
05.02.2024 02:40; 11.61; 10.29; 263; 12.8
05.02.2024 02:41; 11.62; 9.92; 265; 11.2
05.02.2024 02:42; 11.63; 10.44; 265; 13.8
05.02.2024 02:43; 11.58; 8.72; 262; 13.2
05.02.2024 02:44; 11.58; 9.63; 256; 12.4
05.02.2024 02:45; 11.56; 9.11; 257; 11.7
05.02.2024 02:46; 11.57; 8.71; 261; 12.2
05.02.2024 02:47; 11.51; 8.89; 251; 11.5
05.02.2024 02:48; 11.53; 9.30; 262; 13.3
05.02.2024 02:49; 11.56; 11.00; 265; 14.1
05.02.2024 02:50; 11.57; 10.72; 257; 13.5
05.02.2024 02:51; 11.60; 11.79; 262; 15.5
05.02.2024 02:52; 11.52; 9.50; 252; 12.9
05.02.2024 02:53; 11.61; 10.05; 257; 14.3
05.02.2024 02:54; 11.59; 9.24; 252; 11.2
05.02.2024 02:55; 11.56; 9.68; 262; 12.8
05.02.2024 02:56; 11.63; 10.51; 255; 12.9
05.02.2024 02:57; 11.62; 10.46; 262; 12.9
05.02.2024 02:58; 11.63; 11.63; 251; 14.6
05.02.2024 02:59; 11.56; 10.94; 261; 15.3
05.02.2024 03:00; 11.59; 12.15; 261; 16.4
05.02.2024 03:01; 11.50; 10.63; 261; 14.2
05.02.2024 03:02; 11.47; 8.84; 255; 10.4
05.02.2024 03:03; 11.49; 10.29; 259; 13.1
05.02.2024 03:04; 11.53; 10.88; 256; 15.1
05.02.2024 03:05; 11.53; 12.10; 261; 14.6
05.02.2024 03:06; 11.45; 9.81; 257; 11.9
05.02.2024 03:07; 11.41; 8.35; 253; 11.2
05.02.2024 03:08; 11.47; 10.79; 260; 13.8
05.02.2024 03:09; 11.41; 9.47; 254; 11.8
05.02.2024 03:10; 11.47; 10.32; 259; 13.7
05.02.2024 03:11; 11.43; 9.15; 251; 16.7
05.02.2024 03:12; 11.43; 9.60; 261; 14.2
05.02.2024 03:13; 11.42; 9.25; 262; 11.9
05.02.2024 03:14; 11.46; 10.05; 257; 13.2
05.02.2024 03:15; 11.46; 10.10; 256; 14.1
05.02.2024 03:16; 11.38; 8.69; 258; 13.6
05.02.2024 03:17; 11.41; 9.55; 256; 12.1
05.02.2024 03:18; 11.35; 8.46; 252; 13.5
05.02.2024 03:19; 11.44; 10.15; 257; 13.7
05.02.2024 03:20; 11.39; 9.31; 255; 14.9
05.02.2024 03:21; 11.41; 8.92; 255; 12.1
05.02.2024 03:22; 11.40; 8.68; 261; 13.5
05.02.2024 03:23; 11.43; 10.14; 260; 14.2
05.02.2024 03:24; 11.42; 8.64; 259; 12.6
05.02.2024 03:25; 11.37; 8.58; 256; 11.4
05.02.2024 03:26; 11.35; 8.18; 257; 11.7
05.02.2024 03:27; 11.38; 8.46; 257; 13.7
05.02.2024 03:28; 11.39; 10.30; 259; 14.5
05.02.2024 03:29; 11.40; 9.72; 258; 13.3
05.02.2024 03:30; 11.49; 12.40; 258; 15.6
05.02.2024 03:31; 11.43; 10.24; 258; 14.8
05.02.2024 03:32; 11.40; 10.71; 257; 12.9
05.02.2024 03:33; 11.36; 9.35; 258; 13.2
05.02.2024 03:34; 11.50; 13.45; 258; 17.2
05.02.2024 03:35; 11.43; 11.68; 255; 15.7
05.02.2024 03:36; 11.41; 11.17; 258; 15.1
05.02.2024 03:37; 11.32; 8.76; 256; 12.9
05.02.2024 03:38; 11.32; 9.21; 259; 12.2
05.02.2024 03:39; 11.36; 9.99; 254; 14.5
05.02.2024 03:40; 11.48; 12.71; 260; 16.3
