Datum Zeit;  Temperatur; Wind; Richtung; Peak 
23.01.2024 00:00; 8.32; 5.44; 238; 7.7
23.01.2024 00:01; 8.27; 5.13; 240; 8.2
23.01.2024 00:02; 8.37; 7.08; 240; 8.6
23.01.2024 00:03; 8.40; 6.01; 237; 8.6
23.01.2024 00:04; 8.46; 6.50; 242; 9.4
23.01.2024 00:05; 8.35; 6.49; 240; 8.3
23.01.2024 00:06; 8.42; 7.62; 241; 9.8
23.01.2024 00:07; 8.34; 5.78; 236; 9.2
23.01.2024 00:08; 8.35; 6.23; 240; 7.3
23.01.2024 00:09; 8.37; 6.85; 242; 8.8
23.01.2024 00:10; 8.28; 6.02; 241; 7.6
23.01.2024 00:11; 8.35; 7.05; 239; 8.7
23.01.2024 00:12; 8.42; 8.35; 234; 9.9
23.01.2024 00:13; 8.39; 6.73; 237; 9.6
23.01.2024 00:14; 8.43; 8.16; 236; 10.7
23.01.2024 00:15; 8.40; 7.34; 231; 11.4
23.01.2024 00:16; 8.42; 7.24; 232; 10.6
23.01.2024 00:17; 8.46; 7.95; 235; 11.3
23.01.2024 00:18; 8.50; 9.37; 235; 11.5
23.01.2024 00:19; 8.38; 6.97; 233; 9.4
23.01.2024 00:20; 8.44; 8.50; 238; 10.1
23.01.2024 00:21; 8.49; 10.23; 235; 12.5
23.01.2024 00:22; 8.47; 9.36; 241; 11.3
23.01.2024 00:23; 8.48; 9.33; 242; 12.7
23.01.2024 00:24; 8.49; 10.21; 236; 11.9
23.01.2024 00:25; 8.47; 9.05; 237; 10.7
23.01.2024 00:26; 8.44; 8.14; 244; 11.2
23.01.2024 00:27; 8.34; 6.47; 242; 10.9
23.01.2024 00:28; 8.43; 7.58; 242; 10.2
23.01.2024 00:29; 8.39; 6.93; 239; 9.1
23.01.2024 00:30; 8.40; 7.69; 241; 10.8
23.01.2024 00:31; 8.38; 7.45; 240; 10.4
23.01.2024 00:32; 8.54; 9.16; 240; 12.3
23.01.2024 00:33; 8.43; 7.73; 237; 9.3
23.01.2024 00:34; 8.42; 6.88; 235; 9.5
23.01.2024 00:35; 8.42; 7.51; 240; 10.1
23.01.2024 00:36; 8.48; 7.72; 244; 10.7
23.01.2024 00:37; 8.46; 6.89; 245; 10.1
23.01.2024 00:38; 8.47; 7.73; 236; 11.2
23.01.2024 00:39; 8.40; 6.79; 241; 8.9
23.01.2024 00:40; 8.50; 8.10; 238; 10.1
23.01.2024 00:41; 8.49; 7.04; 244; 10.6
23.01.2024 00:42; 8.46; 6.98; 240; 9.5
23.01.2024 00:43; 8.50; 6.62; 240; 9.5
23.01.2024 00:44; 8.56; 8.38; 244; 10.1
23.01.2024 00:45; 8.55; 8.39; 244; 10.9
23.01.2024 00:46; 8.47; 6.46; 245; 9.1
23.01.2024 00:47; 8.49; 6.93; 246; 9.5
23.01.2024 00:48; 8.49; 7.59; 241; 10.3
23.01.2024 00:49; 8.58; 9.38; 239; 11.9
23.01.2024 00:50; 8.49; 7.58; 244; 9.1
23.01.2024 00:51; 8.39; 6.75; 244; 9.2
23.01.2024 00:52; 8.45; 7.60; 245; 9.2
23.01.2024 00:53; 8.39; 6.55; 247; 8.7
23.01.2024 00:54; 8.34; 6.57; 243; 8.2
